	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12
g2428	156	130	135	129	170	172	117	140	311	125	106	120
g2429	927	689	923	1059	611	1395	1249	575	251	972	713	1974
g2430	1984	1855	3093	1637	1163	2803	2993	1356	3046	940	1544	724
g2431	125	46	77	111	162	125	20	76	65	119	62	29
g2432	3156	3860	3244	5380	6135	5860	11509	3499	6640	4390	6073	2772
g2433	1653	2606	2009	2353	1893	1795	1939	1817	1287	1889	1185	1342
g2434	188	372	203	252	283	460	222	202	453	334	228	240
g2435	7	3	0	11	0	4	2	6	0	4	1	2
g2436	710	741	1050	1230	811	946	724	828	909	588	512	476
g2437	164	250	634	288	180	680	141	145	254	379	175	163
g2438	14741	4581	18167	36358	15194	15773	22930	30289	14343	22172	32567	8101
g2439	1279	1139	1047	2639	2429	1419	2416	1576	1359	1805	1498	1141
g2440	2886	2045	1649	1269	2515	2624	3189	1367	3273	2520	1728	1545
g2441	1079	1375	2111	1890	1665	2217	1864	1249	1221	1017	1935	1203
g2442	647	1113	731	693	1000	871	736	575	875	442	319	158
g2443	660	982	805	1648	951	815	1189	885	1111	613	652	966
g2444	983	825	1149	1520	907	1130	1146	824	1263	1225	515	807
g2445	95	40	93	204	249	38	259	161	77	209	65	53
g2446	1196	966	1912	2321	975	2013	1812	1394	2051	1250	1322	1225
g2447	1279	861	1481	895	134	1040	1235	1429	1484	1214	982	1428
g2448	567	932	996	975	955	356	553	748	755	1253	512	589
g2449	2544	3612	3673	7439	2924	3779	3273	4262	3287	3614	2037	1436
g2450	3541	3709	4702	4651	2873	3291	3867	2965	5550	6671	2927	2632
g2451	43	6	19	39	48	43	75	34	32	50	52	8
g2452	37	24	49	22	21	31	21	13	34	11	23	13
g2453	66	59	12	61	0	47	6	42	123	2	12	0
g2454	0	0	0	1	0	0	0	0	2	0	0	16
g2455	68	290	165	36	153	57	206	87	155	291	65	96
g2456	946	1103	1228	992	1282	1487	1346	1678	1837	1054	1261	939
g2457	150	106	122	143	111	197	109	127	135	135	68	104
g2458	2305	1691	2620	5106	2398	3637	3065	3592	2402	4734	2976	1727
g2459	11	7	3	8	5	5	10	6	14	9	7	3
g2460	1222	2205	503	2981	1006	914	1893	1856	1341	1373	393	172
g2461	8	9	8	2	13	0	0	3	4	2	0	2
g2462	95	65	115	128	102	129	55	180	24	137	103	31
g2463	3	7	12	4	2	5	2	0	10	3	1	2
g2464	6	3	20	3	22	0	8	6	16	2	11	13
g2465	5	3	25	28	18	20	24	66	28	44	15	24
g2466	16	20	15	13	7	13	9	20	13	6	7	9
g2467	1108	1283	1771	1316	1361	1326	1892	853	1112	1589	955	1185
g2468	0	1	3	16	7	13	3	2	8	4	8	3
g2469	545	152	512	291	1508	927	8	658	1707	1334	528	250
g2470	713	395	520	639	655	858	558	427	1034	759	387	572
g2471	1344	1322	1709	1540	739	1151	673	1626	3314	1018	1182	1112
g2472	719	1652	1274	1446	1929	1052	1221	384	3087	1918	625	1123
g2473	457	459	694	499	373	581	566	322	444	264	340	182
g2474	494	258	506	578	505	565	585	387	406	436	257	354
g2475	2	4	6	6	9	9	9	3	10	3	1	2
g2476	46	1	5	63	48	4	35	3	28	113	4	36
g2477	551	424	1131	719	708	960	835	711	697	668	657	243
g2478	5	8	7	11	2	8	14	9	10	4	3	4
g2479	5	144	21	37	94	46	175	16	68	188	50	35
g2480	130	273	130	113	81	71	169	95	155	100	79	75
g2481	73	176	74	442	176	195	457	144	251	383	169	248
g2482	133	117	113	206	213	74	171	119	178	174	68	86
g2483	185	70	126	187	100	130	77	84	119	48	67	52
g2484	888	656	750	1077	912	687	1182	849	820	770	577	469
g2485	668	605	785	799	1044	368	976	453	925	1031	751	456
g2486	240	163	305	259	182	199	149	261	339	205	165	122
g2487	763	503	720	613	956	944	954	527	904	256	315	417
g2488	73	20	13	19	220	58	66	67	59	0	37	7
g2489	1806	411	937	1634	504	850	2042	1184	2410	1487	1845	1054
g2490	508	296	362	368	511	430	340	293	732	251	196	311
g2491	79	129	122	267	54	89	56	105	105	63	58	84
g2492	657	355	1083	983	521	1632	1734	1052	1624	944	619	835
g2493	11436	6019	5002	12271	6671	7641	6385	4683	7417	6198	5737	2180
g2494	7261	4620	4919	6099	6949	11309	4480	3704	4574	6872	3739	2707
g2495	143	94	241	246	200	137	139	212	372	196	131	178
g2496	1571	3606	4209	4672	5812	3811	4454	6051	6452	3276	4759	4548
g2497	229	312	559	413	381	297	369	402	415	424	371	343
g2498	522	646	462	1057	316	416	898	620	553	627	626	376
g2499	710	348	22	540	217	1354	82	94	1042	903	1020	646
g2500	2367	2072	1453	3249	811	2509	2041	1595	2052	1683	2118	1448
g2501	565	641	449	570	735	581	403	575	598	489	407	255
g2502	150	97	125	146	126	171	178	170	203	112	99	118
g2503	1016	1509	1305	2271	1649	1637	1633	1855	945	1501	809	623
g2504	63	31	45	50	55	50	51	69	71	61	39	34
g2505	20	18	26	15	15	27	46	13	25	24	35	13
g2506	17	20	11	13	6	5	20	41	40	26	1	9
g2507	0	10	18	0	1	0	0	6	4	1	0	0
g2508	26	23	26	19	30	27	11	19	27	17	16	13
g2509	1	10	17	7	6	1	15	3	4	8	3	13
g2510	10	0	0	2	4	10	3	2	9	3	11	0
g2511	1	2	3	3	7	13	1	4	3	6	3	2
g2512	3073	1458	3574	1031	2761	1159	919	1863	1209	2565	2962	1978
g2513	610	605	603	887	713	742	641	454	707	594	467	436
g2514	296	375	952	362	1028	428	143	278	236	403	202	543
g2515	10866	3966	10376	31733	5106	14646	28847	7729	11808	41387	26311	22640
g2516	2562	1364	1520	2457	2504	1364	1577	1159	2379	1615	996	1363
g2517	6050	4769	6505	6929	6814	5758	6610	5946	6646	9720	5117	5236
g2518	6	13	14	99	39	47	40	32	20	18	28	32
g2519	176	194	180	253	322	179	142	163	98	163	129	148
g2520	61	44	94	108	56	68	87	77	98	52	24	70
g2521	74	50	226	24	11	77	107	77	22	39	87	155
g2522	347	417	435	736	401	714	530	382	881	472	296	303
g2523	476	355	354	648	626	369	469	366	635	725	313	369
g2524	1286	536	469	943	42	226	1912	1756	3039	227	1702	1629
g2525	191	207	319	432	174	225	436	68	386	285	159	420
g2526	614	683	333	1022	550	642	796	349	673	613	294	298
g2527	242	88	167	235	346	148	187	140	190	102	164	100
g2528	1783	1503	1622	1400	1218	1317	1625	1311	1640	1454	867	1114
g2529	2	56	13	110	23	46	230	174	34	70	40	0
g2530	705	723	561	1026	659	563	883	747	932	550	558	444
g2531	524	532	403	490	429	575	474	344	537	423	457	349
g2532	7989	5895	7312	11883	7921	7681	6610	6242	9538	13390	4677	4183
g2533	6	14	27	17	8	21	6	7	7	1	4	3
g2534	722	599	1384	1031	2069	815	3020	2004	691	2192	825	1046
g2535	15	116	36	106	82	61	41	32	101	30	38	59
g2536	4	1	0	0	6	0	3	1	0	3	7	15
g2537	4684	1536	2600	2585	1406	2887	2937	2831	2034	2560	1749	1520
g2538	7	49	51	56	18	1	41	62	193	1	1	7
g2539	186	124	155	230	84	137	254	94	167	188	113	148
g2540	34	6	14	53	24	48	43	16	26	8	4	7
g2541	132	190	87	106	231	195	199	240	260	178	165	74
g2542	0	4	4	2	7	0	2	6	1	3	1	5
g2543	294	461	314	572	221	318	380	275	420	234	234	146
g2544	38	58	10	8	8	15	11	23	6	59	24	19
g2545	2850	2293	3560	4663	3366	1833	1955	2486	5773	2301	1387	2710
g2546	1337	1277	1525	1849	2066	1463	1326	1312	1665	1798	1083	1195
g2547	80	105	126	174	119	107	113	82	131	65	52	45
g2548	1350	493	197	1862	511	343	1132	577	652	868	160	197
g2549	3	3	1	0	0	0	14	0	25	9	2	0
g2550	29	56	65	96	29	49	32	25	32	29	21	28
g2551	628	455	534	699	466	523	538	472	570	625	452	575
g2552	115	60	85	27	66	38	40	47	69	155	122	26
g2553	14	136	7	34	357	2	76	25	220	56	4	12
g2554	369	238	380	797	409	923	425	462	289	571	315	317
g2555	640	823	494	550	430	518	705	297	736	323	348	435
g2556	1409	1498	1756	1993	1904	957	1117	1690	874	1181	1170	1148
g2557	2	0	0	0	6	12	0	11	0	1	0	12
g2558	375	463	395	317	359	452	450	256	522	260	319	150
g2559	48	62	46	125	71	97	66	63	88	82	59	81
g2560	1657	2104	1086	3038	1178	2464	1770	3055	3334	1697	1193	691
g2561	49	75	22	5	68	11	8	77	37	28	18	50
g2562	1	7	8	9	4	5	5	4	6	4	3	2
g2563	20	5	7	13	6	30	6	23	8	2	6	2
g2564	114	57	62	284	29	240	495	301	836	177	96	403
g2565	32	464	4	47	3	74	82	281	68	33	230	32
g2566	64	127	135	172	221	384	211	208	186	137	70	41
g2567	669	441	833	1474	1494	1061	1129	837	1025	740	410	696
g2568	6	5	2	6	4	2	4	0	7	6	4	3
g2569	1661	2197	3775	2844	1642	3506	1628	1722	1613	1336	1149	811
g2570	34	13	5	47	15	89	42	19	8	6	16	10
g2571	119	91	265	230	133	117	197	87	115	106	88	56
g2572	12	21	15	29	25	10	32	28	12	10	13	12
g2573	753	1259	1737	753	1886	1446	1222	1347	1151	1813	1107	880
g2574	375	288	438	457	264	378	472	345	238	748	222	295
g2575	270	315	405	1579	2372	1065	204	1202	316	143	202	244
g2576	9	3	2	4	2	1	0	1	6	13	3	6
g2577	2108	1505	3626	2344	2354	2344	2935	1298	3290	658	1447	1778
g2578	541	1180	702	802	696	2900	1036	835	585	1647	542	646
g2579	8263	6248	7018	8784	7371	7910	6001	6498	5592	6984	3257	5918
g2580	4076	2189	3802	6380	4074	4794	4500	4948	5953	5271	3167	2580
g2581	4	17	4	15	17	32	8	15	31	18	26	8
g2582	5	0	4	2	3	10	6	7	4	1	1	2
g2583	920	222	711	665	859	622	623	660	1100	779	381	822
g2584	425	572	288	431	731	76	232	235	194	302	269	543
g2585	526	380	407	965	396	798	822	369	387	652	298	200
g2586	310	384	279	480	535	595	355	287	339	546	264	268
g2587	5	0	14	10	2	2	6	4	6	0	3	1
g2588	87	53	101	53	64	105	97	56	145	105	97	121
g2589	10	8	13	14	10	19	5	2	10	23	7	4
g2590	102	113	157	167	41	192	143	118	82	199	65	81
g2591	62	83	46	142	44	42	61	79	92	84	69	29
g2592	853	2584	935	1002	1543	3276	792	1026	2149	1168	709	987
g2593	4007	3358	3915	2203	1906	4156	2478	2860	1246	3340	1908	3786
g2594	4088	3324	4479	14298	3670	8203	6417	9404	5055	12078	9373	4657
g2595	44	26	23	76	101	67	8	36	24	31	34	32
g2596	4895	4742	6678	1376	4835	7161	5318	8348	2027	6147	4317	1862
g2597	385	835	816	1107	980	549	804	839	1004	547	538	489
g2598	3088	3928	4464	5735	4060	3371	2498	3468	4003	4404	1976	2470
g2599	88	230	88	119	155	176	153	78	168	68	89	36
g2600	31	20	139	53	31	111	84	42	81	40	27	8
g2601	51	40	41	48	34	47	50	42	34	38	29	26
g2602	1200	1001	1427	1578	1199	1663	1624	1165	1255	1018	1251	933
g2603	439	273	365	378	124	512	333	131	274	378	190	176
g2604	282	150	226	431	390	212	196	242	271	315	163	123
g2605	45	65	85	39	27	58	75	70	94	101	59	66
g2606	12	0	0	6	0	0	0	11	6	0	2	26
g2607	295	259	259	407	133	239	412	310	268	131	267	142
g2608	1901	1801	1219	2643	1470	1044	1281	1367	2780	972	1295	809
g2609	370	409	402	638	400	367	459	220	688	402	274	407
g2610	2469	1350	891	2045	1920	588	1698	1198	1330	2295	901	353
g2611	424	482	177	428	522	571	475	455	641	460	371	400
g2612	6	5	6	6	5	7	6	3	5	8	5	3
g2613	4	23	1	1	34	5	0	0	4	8	0	1
g2614	28	20	20	40	34	12	4	8	27	5	6	8
g2615	11	35	14	22	7	15	22	16	10	35	24	20
g2616	99	77	95	333	107	353	293	136	219	41	33	39
g2617	3	9	5	5	7	1	6	2	5	5	3	3
g2618	0	7	2	1	0	2	4	1	1	0	4	1
g2619	4860	7535	4052	7330	5424	6014	4790	8137	6528	5075	4023	2370
g2620	29	19	6	24	27	25	17	31	10	27	21	14
g2621	47	72	72	46	15	37	40	50	6	76	12	17
g2622	181	168	189	174	12	330	349	253	827	87	138	127
g2623	1105	343	483	1947	986	403	607	226	855	707	842	660
g2624	2101	1341	1783	3603	1518	2315	2399	2011	2671	1993	1974	1231
g2625	0	1	64	0	0	1	0	0	5	0	1	0
g2626	120	216	232	413	156	235	124	120	112	213	117	158
g2627	4	65	42	24	36	6	24	23	23	21	11	37
g2628	2	5	2	3	7	1	5	4	2	2	6	3
g2629	30	37	37	43	37	38	32	56	37	36	20	33
g2630	7	0	4	12	5	3	0	5	5	0	4	1
g2631	165	240	105	761	153	202	275	264	161	276	179	124
g2632	416	927	495	1089	615	469	659	479	1103	1131	540	341
g2633	14	11	27	20	23	19	14	17	52	7	13	11
g2634	2037	2161	2902	2539	2758	2578	2612	2307	2534	2389	2226	1683
g2635	1119	1394	1135	1964	706	715	1370	1259	929	736	1241	652
g2636	6	7	5	5	4	5	2	6	4	2	11	4
g2637	830	499	552	1065	1259	638	968	540	634	457	484	492
g2638	1702	806	1041	3445	2832	2176	1088	1197	954	1960	1210	766
g2639	11	10	51	7	64	25	225	16	10	38	45	85
g2640	113	47	68	23	112	24	65	4	41	65	33	14
g2641	698	1222	432	667	589	1144	764	698	1185	922	358	963
g2642	1967	1708	1765	2465	1588	1986	1231	1637	1689	2268	995	1457
g2643	2	12	7	4	22	9	19	11	11	6	6	32
g2644	522	1195	546	1095	671	659	682	935	819	583	704	348
g2645	3	0	68	3	126	1	69	12	0	0	73	8
g2646	72	141	31	208	47	65	120	47	136	54	25	4
g2647	3	0	2	0	2	0	2	4	1	0	0	6
g2648	2711	1792	2737	4147	2746	4536	2749	3078	2999	2281	3040	1231
g2649	1049	979	664	927	312	639	786	504	310	341	210	282
g2650	352	510	1072	767	1111	873	681	872	1387	1414	560	524
g2651	18	20	15	16	18	65	44	32	30	40	10	10
g2652	1640	1858	1714	1973	1379	2118	1572	1522	1534	1558	981	894
g2653	346	652	446	742	583	470	497	134	900	556	341	426
g2654	2069	2574	1686	3117	2289	1291	2900	1823	2023	2072	1841	1653
g2655	2482	2263	3302	4487	2186	2092	2415	2197	2469	1914	3382	1583
g2656	3115	4823	3209	7085	5054	4340	5819	4872	3467	4625	3227	2821
g2657	14	19	17	26	9	25	7	9	7	8	8	15
g2658	271	446	57	1661	729	910	505	2033	1109	702	118	1184
g2659	1085	1250	1156	1091	1305	776	638	917	816	1204	476	571
g2660	8	20	20	61	6	2	24	12	5	6	0	8
g2661	0	0	1	0	6	6	1	2	3	8	0	2
g2662	24529	25336	36936	63525	34898	32454	28869	38391	20400	52862	29101	15029
g2663	23	12	0	107	11	31	15	63	16	86	24	13
g2664	339	356	323	396	340	199	509	552	259	226	308	390
g2665	14060	15748	16184	23629	13905	14450	14595	11929	19088	15009	13216	10911
g2666	270	229	344	260	326	326	246	288	260	489	226	170
g2667	373	346	336	378	309	219	423	250	436	371	183	270
g2668	257	134	204	227	179	97	141	235	120	152	113	83
g2669	136	190	152	194	182	112	116	171	253	185	158	59
g2670	26	27	38	0	38	55	42	46	19	66	32	24
g2671	285	187	80	163	254	88	221	96	82	169	89	121
g2672	3562	2560	3767	5163	2471	4227	3376	4267	5524	5389	3153	4038
g2673	56	10	105	83	105	29	111	55	118	21	37	339
g2674	3	8	5	18	18	11	16	9	14	6	18	9
g2675	2029	1716	1516	855	916	178	1041	692	1232	2061	334	279
g2676	1275	1099	397	1030	677	1622	420	1707	1309	964	435	851
g2677	3517	5826	7140	9305	7100	3235	4482	2765	13118	4874	5822	1680
g2678	7771	12603	8475	7325	4774	9114	9413	10027	15989	12214	9758	4525
g2679	531	727	833	1353	766	428	708	632	751	957	513	531
g2680	39	68	16	41	18	8	60	12	58	38	4	32
g2681	22	22	15	19	20	37	25	7	60	18	25	3
g2682	8	5	12	5	6	5	8	14	12	11	4	4
g2683	64	128	59	48	48	59	60	49	71	40	30	31
g2684	472	772	560	713	425	384	510	1131	1512	615	862	436
g2685	3057	3683	2476	2616	3837	4991	5405	2688	4353	2382	1802	2957
g2686	414	397	427	427	292	433	443	529	474	383	400	201
g2687	12	4	22	28	16	15	1	7	9	11	8	12
g2688	136	298	147	264	380	129	209	140	406	152	116	126
g2689	1	3	14	6	5	5	0	12	0	0	2	2
g2690	10	4	9	22	4	5	13	7	19	12	5	7
g2691	11	23	18	44	31	7	21	13	7	23	8	5
g2692	106	157	134	255	68	121	121	95	141	100	103	120
g2693	637	381	128	320	881	231	448	196	624	35	494	87
g2694	60	109	94	105	50	47	57	23	42	103	56	70
g2695	664	979	858	801	405	1043	383	1673	435	1034	509	295
g2696	121	94	200	162	36	147	205	96	160	56	70	66
g2697	1071	974	1249	1456	858	1492	694	1799	1060	1015	1629	784
g2698	729	896	941	677	517	722	416	468	901	784	777	415
g2699	4	6	1	10	3	8	5	4	7	8	2	2
g2700	112	306	70	275	186	157	254	152	178	181	219	164
g2701	2152	2669	1731	1969	2155	3651	2963	2952	1944	759	1337	1608
g2702	21	3	6	216	1255	81	1188	88	658	29	72	146
g2703	854	1039	333	1010	717	483	335	271	812	1248	454	337
g2704	102	44	91	84	72	75	47	76	86	50	39	52
g2705	493	506	669	554	285	690	665	678	496	584	523	279
g2706	1180	1043	1036	814	1184	1625	626	906	837	1540	878	492
g2707	271	280	220	399	312	145	166	136	404	232	262	214
g2708	110	56	31	87	174	52	81	66	57	51	103	69
g2709	3436	3597	8097	9319	3041	4429	4445	5674	4009	3769	2835	3615
g2710	314	545	690	975	548	733	742	364	713	458	310	155
g2711	2389	1734	1593	594	499	836	2728	1755	2534	358	579	917
g2712	1	4	7	5	2	22	0	15	8	0	5	2
g2713	84	116	76	46	102	5	28	105	23	65	35	7
g2714	11	137	242	30	275	28	155	592	6	199	3	146
g2715	415	224	129	1089	393	309	272	124	556	331	375	286
g2716	4	1	3	7	1	1	5	2	7	4	1	1
g2717	22	12	18	13	9	3	25	10	6	8	8	2
g2718	868	580	1122	1962	1767	1656	1720	2079	2811	1325	627	778
g2719	191	166	240	160	385	346	287	294	69	237	251	78
g2720	43	25	29	69	29	29	95	40	76	57	20	43
g2721	30	32	32	35	46	73	46	39	61	18	30	31
g2722	4146	1378	2878	4108	4593	3157	4126	2993	5040	3729	1677	1189
g2723	9	14	14	10	10	24	9	11	23	8	16	5
g2724	352	284	234	244	212	478	367	269	220	457	168	301
g2725	974	1442	1036	1969	1955	897	1302	447	574	2543	1503	337
g2726	97	27	95	429	231	101	108	89	232	36	25	106
g2727	1	0	1	11	4	4	1	3	3	3	6	0
g2728	1390	375	1034	1865	424	396	811	456	1715	1063	462	345
g2729	8820	11658	15673	10368	12805	13741	11777	10460	10708	15613	7831	10259
g2730	3	18	2	2	15	1	1	1	2	3	0	0
g2731	10	3	8	12	11	7	7	6	7	3	8	10
g2732	74	74	89	116	68	69	27	118	156	89	62	172
g2733	305	441	374	341	459	208	255	218	427	440	444	300
g2734	188	200	205	249	167	339	270	274	336	175	150	171
g2735	1	1	12	19	4	0	0	10	1	10	24	2
g2736	6	19	7	1	1	11	3	4	10	4	7	0
g2737	8	15	20	24	39	11	12	22	19	21	16	6
g2738	10853	8239	9943	10649	9191	8537	9791	7048	11264	7241	4365	4620
g2739	2374	3727	3539	2717	2953	3726	5188	3209	3887	3503	1707	2114
g2740	106	90	62	120	90	104	106	71	124	31	76	37
g2741	8	1	1	1	3	9	5	11	1	2	1	2
g2742	142	95	73	124	65	67	129	110	78	146	42	67
g2743	1784	832	1534	1351	2549	2284	348	1543	1210	1598	1056	852
g2744	29	1	3	16	0	0	2	2	7	0	1	0
g2745	345	332	229	311	265	269	313	357	364	531	193	210
g2746	29	38	26	92	31	51	55	40	23	40	15	42
g2747	254	449	483	341	365	487	520	642	508	530	244	213
g2748	697	555	552	876	301	524	388	331	556	789	552	409
g2749	9	15	15	12	20	17	14	16	22	14	7	7
g2750	0	11	0	6	3	0	7	14	1	0	3	0
g2751	15	6	10	9	19	13	0	5	13	12	14	6
g2752	77	77	150	63	133	83	56	42	66	49	22	67
g2753	49	25	53	95	59	77	71	57	41	65	68	17
g2754	80	65	78	98	34	144	98	40	165	232	42	37
g2755	1	1	12	12	17	16	3	7	16	12	12	3
g2756	596	750	731	569	557	1032	718	551	576	969	630	401
g2757	1	6	1	4	13	3	15	8	6	0	2	10
g2758	6	7	11	10	15	1	4	30	7	13	8	0
g2759	1956	2719	3299	3100	2265	2881	1906	3476	3568	2319	3261	704
g2760	31	14	1	28	7	33	21	27	48	30	3	34
g2761	519	380	518	357	443	565	278	431	654	493	209	386
g2762	755	1015	1165	767	733	735	1209	780	682	635	499	534
g2763	2770	2770	3216	3528	3213	4357	3728	3596	4577	3008	2091	2447
g2764	1427	2384	1432	3531	1288	1310	1673	1513	1097	1435	929	685
g2765	1740	1207	1308	1582	759	1925	898	654	1099	821	505	600
g2766	87	167	90	145	66	108	192	131	164	189	100	57
g2767	749	436	194	1002	82	96	287	116	145	112	196	161
g2768	54	224	81	29	543	1	48	239	278	222	19	67
g2769	169	97	14	143	27	1	15	85	69	108	89	76
g2770	11706	8041	11516	11371	9460	11205	9975	8286	13889	13279	7937	6587
g2771	1405	1443	3126	3057	1266	2296	3172	2380	2500	1879	1233	669
g2772	3	0	15	0	0	0	0	2	2	0	0	1
g2773	12	0	28	3	0	8	2	12	6	10	12	6
g2774	157	50	62	145	42	62	51	64	106	26	65	41
g2775	949	1902	1711	1348	1303	2067	1834	1447	2556	1490	1206	967
g2776	649	422	450	1340	538	767	232	259	502	605	462	470
g2777	10	11	9	21	33	22	2	15	17	13	10	13
g2778	161	110	291	437	141	543	265	85	247	139	155	147
g2779	39	14	36	43	45	21	18	51	47	9	29	19
g2780	129	117	64	88	88	71	86	65	79	110	34	56
g2781	4	4	0	4	1	6	2	3	3	4	2	2
g2782	342	362	798	509	698	360	499	288	981	851	453	241
g2783	195	721	246	531	396	289	187	122	251	406	129	142
g2784	2525	1664	1590	2245	1535	2515	1602	2488	1670	3137	3385	1217
g2785	309	526	225	478	207	483	330	329	348	185	262	211
g2786	4865	5757	7277	7500	4976	4391	7176	9503	8520	6984	2664	2675
g2787	144	105	64	67	231	247	48	148	98	2	73	59
g2788	42	36	42	61	48	36	55	34	42	31	16	29
g2789	598	294	383	1303	541	611	246	278	669	535	347	306
g2790	210	764	64	127	130	283	84	246	295	112	36	47
g2791	1949	845	1356	2890	2231	2618	1079	2308	2425	2746	1727	1047
g2792	11	15	9	26	10	19	19	10	16	15	14	5
g2793	2855	1746	1797	2101	3970	1535	3664	901	2400	2533	1522	4414
g2794	891	747	1125	1028	578	633	738	606	657	1019	865	574
g2795	287	259	375	212	279	597	357	426	190	283	302	139
g2796	26	12	12	10	26	0	5	12	29	6	5	9
g2797	83	231	192	350	63	125	120	152	286	140	131	36
g2798	553	725	247	501	327	356	275	289	756	427	499	210
g2799	3508	3133	3121	4106	4338	3565	3752	2375	4528	1861	2613	2076
g2800	25	192	110	36	58	50	54	3	16	293	17	40
g2801	9	8	17	8	9	20	10	10	40	16	10	8
g2802	4865	3566	2469	4148	3956	2481	1658	3886	4487	2502	2903	1403
g2803	593	467	478	438	338	596	378	425	608	449	626	395
g2804	33	58	8	13	25	53	68	58	30	8	16	45
g2805	5	13	26	45	25	11	22	9	30	6	6	15
g2806	3446	4084	2906	4808	3652	4357	3065	2764	3986	3004	2092	2474
g2807	166	198	49	53	94	132	15	51	9	23	283	88
g2808	0	56	0	8	100	0	30	310	0	1	62	1
g2809	210	215	486	277	170	282	350	346	132	254	315	79
g2810	395	224	386	790	240	274	539	249	413	432	180	396
g2811	0	2	3	1	1	0	2	1	0	2	0	0
g2812	220	110	338	581	99	237	96	81	195	599	215	281
g2813	135	758	187	257	220	249	133	97	182	195	279	171
g2814	119	111	101	233	141	200	235	138	240	131	123	121
g2815	1937	709	824	2164	1363	1160	530	1075	1065	1865	814	214
g2816	127	85	782	684	397	465	141	27	95	133	1040	152
g2817	609	820	1292	814	646	803	1008	670	672	400	1028	489
g2818	90	75	323	112	42	185	299	145	105	156	178	115
g2819	151	206	363	554	184	248	341	189	375	125	111	249
g2820	9	18	4	7	2	1	13	5	9	2	5	2
g2821	11	10	13	26	12	36	7	5	25	5	8	10
g2822	24	20	41	13	9	44	17	20	31	55	21	37
g2823	153	97	147	294	138	90	165	101	53	60	56	81
g2824	3	6	2	0	1	4	8	3	5	1	1	2
g2825	188	104	174	182	111	84	92	86	77	202	50	64
g2826	179	217	323	374	217	206	266	139	282	328	215	174
g2827	2	6	24	5	4	0	2	5	2	35	4	3
g2828	10	15	11	12	29	33	8	23	13	28	10	18
g2829	238	56	8	209	111	326	174	172	20	165	194	70
g2830	16	59	18	33	47	120	41	3	157	127	30	11
g2831	3907	5095	6813	4080	7470	5670	4781	4522	5701	6006	3713	4479
g2832	8	148	20	62	20	31	100	31	37	32	90	12
g2833	2189	1511	1699	2049	1406	1628	2352	1702	1460	2169	985	1369
g2834	14509	18804	6214	20169	18486	8244	4364	15598	13594	15479	10043	9887
g2835	59	77	126	155	63	108	123	41	85	176	107	103
g2836	691	254	773	290	408	548	855	303	976	875	154	318
g2837	5097	5425	9013	7659	5145	3673	5882	4734	6608	7174	4276	3647
g2838	148	141	172	332	102	65	123	112	284	113	93	126
g2839	0	0	3	11	5	5	1	2	0	0	2	6
g2840	7644	1829	2885	5623	3081	2604	11667	4674	5973	3222	2270	350
g2841	550	367	302	402	731	375	598	670	760	444	270	384
g2842	980	2492	939	1473	2134	2278	1037	728	2923	1279	660	859
g2843	251	588	375	533	479	478	564	488	591	381	471	134
g2844	2	11	127	25	31	15	83	11	42	9	0	33
g2845	75	72	68	166	92	106	57	42	75	78	69	72
g2846	140	67	129	166	83	108	69	96	100	118	78	103
g2847	12	26	15	18	9	1	22	5	15	17	1	8
g2848	0	1	1	1	5	1	0	5	7	0	0	7
g2849	3	4	2	2	0	1	3	1	0	3	3	4
g2850	8	6	9	25	7	8	7	15	12	15	11	7
g2851	158	173	121	297	209	85	87	96	308	120	106	369
g2852	354	573	580	762	362	457	213	358	124	329	603	338
g2853	87	172	166	280	130	395	107	47	219	534	165	182
g2854	2	4	2	4	12	5	16	10	4	0	12	4
g2855	470	253	80	335	188	728	664	187	344	106	124	242
g2856	240	451	411	534	408	274	290	355	702	370	304	178
g2857	1798	831	1542	833	1760	806	779	943	900	1466	823	528
g2858	342	408	762	825	40	202	187	75	951	327	419	80
g2859	27	23	43	24	30	15	28	17	25	9	33	2
g2860	96	33	47	151	65	115	151	83	53	93	36	82
g2861	902	1439	1165	906	1145	1562	2116	1004	1945	1138	914	877
g2862	78	70	29	37	143	31	220	172	321	125	14	12
g2863	2400	1079	1468	2063	1042	2157	1614	1846	1345	1534	1205	1253
g2864	549	805	334	353	381	257	383	111	333	410	209	132
g2865	5178	6083	9702	10259	5817	7715	6492	5530	8485	8590	3298	3358
g2866	19	59	41	38	29	33	13	36	39	7	6	34
g2867	30	27	40	51	52	92	45	62	62	60	33	35
g2868	0	1	0	0	5	0	15	6	1	0	1	0
g2869	1986	4533	2497	3220	1288	2438	2422	2027	5534	593	1322	1149
g2870	157	87	237	281	377	905	370	444	266	966	35	218
g2871	61	7	11	21	6	26	11	18	19	57	25	3
g2872	45	61	39	72	10	19	66	25	44	39	35	20
g2873	2018	2587	1798	2754	2287	2516	1995	1588	2385	2086	1374	1186
g2874	3783	4231	4229	5157	4315	4678	3702	3416	6279	3242	3138	3573
g2875	355	109	132	294	66	176	329	303	20	726	189	119
g2876	1570	748	1005	1738	1265	1389	923	1313	1256	1083	936	848
g2877	716	2074	1648	1883	984	1428	822	1155	2152	1636	923	843
g2878	1930	2782	1140	3809	2882	3827	3471	3348	941	3210	2370	2156
g2879	983	1101	1107	1373	554	1226	938	1155	1324	1194	758	604
