	sample1	sample2	sample3	sample4	sample5	sample6
g1748	295	101	188	79	229	128
g1749	52	102	41	22	160	52
g1750	88	156	90	86	30	70
g1751	4083	1876	3370	1520	2706	1873
g1752	0	2	6	2	6	1
g1753	95	150	331	157	143	120
g1754	0	28	5	0	0	0
g1755	6586	3258	6140	4807	6922	3537
g1756	24	15	36	19	23	11
g1757	12	3	17	23	20	5
g1758	893	315	1146	445	656	270
g1759	1107	1719	1702	967	903	635
g1760	540	614	456	384	413	299
g1761	229	80	166	82	258	101
g1762	43	21	46	9	8	23
g1763	42	82	41	29	52	46
g1764	1108	1072	1188	376	1740	1080
g1765	2016	2445	3208	2332	3143	3513
g1766	5	0	19	4	0	0
g1767	1607	1191	1565	766	1434	1981
g1768	2081	1407	3054	1190	2332	1300
g1769	43	6	11	2	27	3
g1770	2552	2727	2946	1074	2746	2201
g1771	87	252	300	272	333	350
g1772	1303	1705	2884	1331	1430	1892
g1773	1463	1355	1926	950	1460	1127
g1774	35	26	56	41	64	48
g1775	1280	1503	3464	1311	2189	504
g1776	245	326	427	153	173	325
g1777	14	2	7	8	16	21
g1778	185	378	299	225	230	203
g1779	65	13	180	146	166	55
g1780	141	108	128	73	69	121
g1781	242	192	138	92	114	134
g1782	47	78	43	43	72	58
g1783	4481	7159	5155	4891	4875	6527
g1784	1193	1600	1340	565	1463	1125
g1785	278	282	384	254	268	106
g1786	3244	3783	2840	1382	1849	2580
g1787	354	284	249	208	256	175
g1788	3	21	16	11	16	10
g1789	0	27	3	0	0	0
g1790	32	58	111	19	13	37
g1791	80	51	81	35	63	74
g1792	8	0	7	81	8	16
g1793	96	19	73	89	127	229
g1794	6	33	1	3	34	9
g1795	1018	721	871	399	633	689
g1796	2703	3369	3722	3690	3986	3205
g1797	132	208	70	41	167	94
g1798	9	33	182	0	196	6
g1799	1400	3088	3538	2459	2907	2218
g1800	36	37	76	19	35	25
g1801	3472	3502	2845	1505	3306	3180
g1802	7	1	1	2	6	3
g1803	933	674	468	375	607	562
g1804	70	5	6	1	24	51
g1805	6	0	5	3	0	9
g1806	102	146	188	37	53	77
g1807	62	77	160	114	93	38
g1808	960	478	564	509	940	784
g1809	85	23	28	12	45	29
g1810	2	14	19	1	3	1
g1811	127	159	188	79	97	162
g1812	133	78	236	250	185	158
g1813	0	0	0	9	1	0
g1814	272	160	160	143	118	98
g1815	2571	3309	1360	538	3126	2812
g1816	43	8	1300	81	250	59
g1817	1280	3335	6600	523	1032	566
g1818	5602	7342	8407	4360	5881	6530
g1819	4541	3319	4680	2652	4818	5020
g1820	53	88	146	108	70	92
g1821	1206	1253	1999	1196	2214	1091
g1822	1189	1699	793	461	536	763
g1823	2002	1779	2475	1104	1252	895
g1824	1180	1003	1199	829	1172	937
g1825	420	369	354	215	406	293
g1826	420	289	656	453	30	311
g1827	31	48	12	10	11	23
g1828	4213	3143	4799	2249	3549	2927
g1829	3	0	0	5	7	1
g1830	4003	3143	3430	1769	2322	1873
g1831	4	0	3	3	0	0
g1832	1	6	1	11	6	14
g1833	283	670	712	324	521	397
g1834	16	17	23	26	74	40
g1835	38	27	44	44	13	74
g1836	34	12	12	2	19	23
g1837	119	118	119	157	80	251
g1838	2	6	3	1	2	3
g1839	7489	7823	8312	3973	8035	4472
g1840	659	717	899	635	557	717
g1841	203	142	298	6	192	63
g1842	815	1050	1158	705	1113	518
g1843	0	0	21	0	0	0
g1844	18	33	102	11	7	17
g1845	6	5	5	1	6	1
g1846	9925	11174	26335	10454	21159	15487
g1847	1	22	115	83	19	37
g1848	41	1	284	16	9	244
g1849	3	3	0	1	5	2
g1850	1908	3014	3587	1543	2060	2216
g1851	21	3	4	4	22	3
g1852	7	37	30	77	71	55
g1853	146	175	115	140	204	204
g1854	1783	869	1494	679	1499	831
g1855	3	4	1	2	5	4
g1856	7	1	2	0	2	16
g1857	4624	8473	5400	3516	5640	1978
g1858	19926	15622	15853	12334	12909	9613
g1859	54	1	127	4	13	29
g1860	60	10	12	37	42	9
g1861	940	925	1019	641	756	728
g1862	5	8	12	6	6	5
g1863	3262	5510	4879	1998	1637	4205
g1864	12	1	10	8	10	13
g1865	1378	1155	2755	433	871	606
g1866	60	27	27	1	32	57
g1867	2006	2384	2323	1513	2001	1373
g1868	400	764	1002	363	333	318
g1869	10	1	0	1	4	6
g1870	237	228	234	148	184	155
g1871	3	17	244	5	21	51
g1872	182	168	164	124	80	44
g1873	231	128	178	93	151	94
g1874	24	27	39	27	54	8
g1875	22	52	44	82	30	41
g1876	972	678	1642	757	1136	676
g1877	102	107	123	87	48	45
g1878	0	0	0	0	16	8
g1879	2410	1696	2727	2098	2128	1547
g1880	364	316	480	206	747	305
g1881	615	582	543	530	691	448
g1882	246	581	303	282	592	294
g1883	345	698	1063	515	727	363
g1884	111	105	126	73	98	67
g1885	1458	1489	566	458	1287	1140
g1886	395	305	238	262	496	261
g1887	5193	4393	5034	3267	6948	4127
g1888	532	796	697	296	718	343
g1889	27	35	25	35	15	37
g1890	3943	4365	5569	2494	2980	1950
g1891	18	15	17	22	29	22
g1892	38	9	18	10	203	17
g1893	161	12	110	124	147	96
g1894	247	431	250	435	516	481
g1895	4051	6383	6354	3527	6777	5259
g1896	73	27	64	5	68	54
g1897	433	309	433	261	210	363
g1898	941	819	1727	391	1503	646
g1899	1	1	37	11	39	62
g1900	5257	3383	3881	2328	4614	2010
g1901	32	27	33	10	7	54
g1902	7	6	8	3	9	1
g1903	0	22	80	38	117	5
g1904	21	38	11	6	21	13
g1905	411	684	236	123	250	225
g1906	721	685	1101	440	1097	1020
g1907	21	5	3	1	33	3
g1908	4761	3868	2262	2159	3992	3874
g1909	234	256	284	167	173	210
g1910	2	5	2	2	5	5
g1911	26	19	26	11	37	18
g1912	19	29	15	8	82	23
g1913	27	21	11	20	24	20
g1914	23	13	0	8	6	1
g1915	1	0	0	17	28	126
g1916	272	155	615	436	578	457
g1917	3	20	29	4	27	22
g1918	2022	1877	2238	1251	1453	2101
g1919	5934	3208	8020	3101	9424	6526
g1920	1436	1204	1778	910	1229	1077
g1921	146	52	68	49	59	86
g1922	2177	3022	2449	2132	1867	2361
g1923	533	231	658	176	801	500
g1924	204	198	288	194	320	118
g1925	519	303	295	269	158	390
g1926	64	42	93	51	29	20
g1927	44	732	2	416	232	52
g1928	1012	707	1690	899	1547	505
g1929	25	48	5	83	20	40
g1930	103	246	459	506	425	210
g1931	869	801	1194	652	909	603
g1932	113	58	71	32	69	27
g1933	263	98	73	84	37	144
g1934	12	25	0	7	115	32
g1935	9	10	13	3	2	4
g1936	64	40	39	8	53	43
g1937	64	61	6	99	360	126
g1938	1028	480	547	678	941	765
g1939	1394	1599	1892	297	1574	591
g1940	21456	28670	9626	9206	29259	4298
g1941	4	4	24	0	8	0
g1942	67	43	130	29	41	56
g1943	42	27	11	20	33	3
g1944	270	450	293	106	293	269
g1945	3	7	12	7	8	5
g1946	268	200	137	247	254	85
g1947	3675	1755	2632	1721	3303	1326
g1948	24	22	41	6	17	22
g1949	0	0	4	3	0	2
g1950	2	5	2	4	1	8
g1951	32	27	5	2	23	7
g1952	6	6	7	1	5	7
g1953	219	75	195	152	254	97
g1954	85	77	69	89	83	76
g1955	54	78	126	36	31	99
g1956	1323	1338	1579	1028	1792	1214
g1957	1114	934	892	465	1383	800
g1958	515	1242	668	625	773	806
g1959	56	17	28	66	39	26
g1960	98	91	140	45	28	47
g1961	9	4	1	3	2	15
g1962	2035	2960	2890	1493	2595	1390
g1963	5406	7332	2729	8007	3552	8317
g1964	205	65	83	27	103	48
g1965	1139	382	595	601	1486	1332
g1966	4495	2918	6728	2921	7279	6837
g1967	965	2195	2775	909	2235	4124
g1968	6856	3542	5194	2621	4804	4196
g1969	6	16	3	15	8	7
g1970	117	27	29	20	3	39
g1971	11837	13107	11940	5300	8514	7440
g1972	1	112	12	17	69	32
g1973	728	1768	1820	430	671	442
g1974	14	0	5	10	76	17
g1975	156	59	147	77	69	91
g1976	990	538	991	377	766	496
g1977	2539	1398	898	1404	1992	1403
g1978	2541	1216	2457	1452	3009	1185
g1979	2401	1875	3224	1461	1701	1334
g1980	91	0	6	6	66	84
g1981	1859	548	443	338	973	431
g1982	158	462	229	250	203	111
g1983	280	227	302	162	131	215
g1984	1701	103	2499	346	43	977
g1985	1301	550	579	669	667	664
g1986	5376	4680	5949	3108	4995	4787
g1987	1550	1280	1122	686	1841	719
g1988	3	2	25	0	10	27
g1989	46	68	54	23	41	62
g1990	12	6	50	36	19	8
g1991	2	11	12	2	2	5
g1992	24084	14013	7950	14990	6062	5778
g1993	3223	1005	1679	1267	1260	1410
g1994	105	333	84	108	151	65
g1995	76	51	56	51	64	50
g1996	885	882	1161	627	848	888
g1997	723	620	617	294	422	568
g1998	64	66	79	61	42	42
g1999	251	125	443	236	197	202
g2000	1262	1028	1394	698	551	1101
g2001	984	959	1139	679	1115	843
g2002	14	3	8	18	26	9
g2003	41	9	18	4	15	17
g2004	53	61	9	2	3	14
g2005	533	486	451	247	692	458
g2006	25	94	107	51	121	10
g2007	2066	1557	2162	769	2030	1025
g2008	59	146	137	157	192	101
g2009	230	197	194	228	305	268
g2010	1110	1412	1890	1040	1393	751
g2011	2216	1704	1658	1238	1693	2583
g2012	52	85	161	52	46	46
g2013	49	72	91	50	37	83
g2014	9	7	10	6	9	14
g2015	0	5	2	1	5	2
g2016	235	62	282	369	263	97
g2017	3	10	1	0	0	0
g2018	2894	1378	2472	2139	3722	3697
g2019	19	183	54	80	126	210
g2020	25	13	20	19	52	43
g2021	36	34	32	21	59	35
g2022	32	29	34	11	16	12
g2023	106	73	94	37	56	39
g2024	14511	17383	19850	6407	18814	11253
g2025	24	2	59	22	7	6
g2026	1653	1864	1977	1417	2054	1306
g2027	93	25	51	76	15	21
g2028	80	61	82	40	80	40
g2029	88	61	50	235	258	168
g2030	23	81	43	4	7	2
g2031	10	18	12	18	22	14
g2032	4370	1122	1854	1900	4026	1500
g2033	82	54	271	62	136	57
g2034	1485	2273	2283	1460	1352	1598
g2035	782	459	202	392	972	320
g2036	960	1353	475	414	225	631
g2037	10	27	25	11	19	14
g2038	21	28	56	28	15	16
g2039	978	1221	58	261	807	1212
g2040	407	366	489	265	512	359
g2041	0	8	8	9	15	2
g2042	2633	2504	3539	2078	2807	2670
g2043	59	12	40	37	60	11
g2044	3762	2709	6593	2952	4143	3274
g2045	474	365	437	268	322	319
g2046	1935	1237	1973	1110	2265	1719
g2047	550	607	614	286	625	468
g2048	3013	2925	3399	1419	2172	2367
g2049	52	60	127	58	10	86
g2050	0	10	30	1	1	1
g2051	500	339	285	136	222	378
g2052	385	733	665	277	644	724
g2053	218	173	155	74	168	130
g2054	26	62	0	45	3	35
g2055	244	55	190	130	147	126
g2056	575	417	308	342	547	528
g2057	7	15	2	6	5	2
g2058	1609	336	2788	1037	1116	557
g2059	2347	2331	2708	1975	2564	2047
g2060	5906	6577	5585	1585	2639	2884
g2061	446	326	370	143	255	179
g2062	129	125	154	71	129	155
g2063	259	711	417	130	37	457
g2064	3	0	5	0	1	0
g2065	246	265	323	151	379	283
g2066	10	64	0	33	14	6
g2067	698	573	1023	545	1033	507
g2068	79	69	94	42	78	71
g2069	192	106	305	72	200	171
g2070	1248	766	839	479	971	1011
g2071	702	789	412	155	257	617
g2072	7	4	2	1	1	12
g2073	1087	929	835	564	968	706
g2074	2025	2259	6456	1771	1706	2977
g2075	261	342	122	158	205	108
g2076	10	2	18	1	10	1
g2077	17775	44607	41187	12899	19525	21689
g2078	25	31	19	14	36	32
g2079	10	4	34	0	3	6
g2080	1099	646	1631	766	1622	1012
g2081	426	191	369	138	234	192
g2082	425	593	424	285	554	252
g2083	1372	1397	1460	980	1811	1233
g2084	1006	785	1377	658	1554	797
g2085	2080	3796	2686	2321	2291	3290
g2086	784	909	1069	761	672	1059
g2087	2751	2910	6247	3720	4777	3481
g2088	69	111	77	36	64	112
g2089	349	599	482	356	556	330
g2090	31	33	40	16	17	29
g2091	359	165	484	232	464	397
g2092	8	1	6	0	6	1
g2093	821	255	1662	406	247	839
g2094	205	52	325	162	50	73
g2095	230	180	155	94	76	166
g2096	592	778	1334	504	568	301
g2097	102	116	51	81	95	111
g2098	198	162	269	223	304	250
g2099	24	6	0	1	1	1
g2100	166	546	374	515	252	757
g2101	860	1301	1232	658	755	781
g2102	5	8	3	0	10	4
g2103	9	2	17	1	3	3
g2104	559	688	624	463	787	510
g2105	42	18	65	8	36	45
g2106	401	201	326	168	143	340
g2107	139	186	197	42	59	192
g2108	50	5	9	4	11	24
g2109	161	30	85	88	94	38
g2110	3	6	2	0	5	2
g2111	188	258	257	99	225	169
g2112	12403	8530	19851	9494	9837	10640
g2113	3271	3816	4696	2277	4024	3295
g2114	426	392	519	436	385	316
g2115	174	155	125	69	29	95
g2116	726	547	585	282	436	452
g2117	356	364	356	339	735	221
g2118	3700	2064	5106	2484	3093	3017
g2119	122	286	124	84	173	67
g2120	19	101	47	23	36	66
g2121	401	313	533	161	164	423
g2122	322	474	665	485	95	426
g2123	6974	4569	7227	2473	9061	7412
g2124	2700	2047	1792	1470	1159	2364
g2125	15	43	29	32	47	11
g2126	244	166	667	227	307	363
g2127	412	348	334	236	375	183
g2128	5	3	9	5	2	7
g2129	1145	1737	1304	1420	1123	1618
g2130	25	18	37	19	15	19
g2131	190	48	22	55	123	41
g2132	2021	2260	2622	1064	2236	2311
g2133	3502	6120	5531	3643	2992	2338
g2134	293	182	222	160	323	198
g2135	94	92	140	53	272	86
g2136	33	38	11	15	26	17
g2137	16	14	14	2	10	9
g2138	654	744	1014	300	602	510
g2139	17	7	26	2	9	6
g2140	2911	2936	333	203	1310	938
g2141	280	366	832	493	168	175
g2142	10	2	20	3	13	11
g2143	1888	1805	1870	942	1145	1255
g2144	16	7	43	9	7	8
g2145	15891	22616	16488	11029	10166	17568
g2146	142	181	200	64	153	81
g2147	19	8	0	0	2	24
g2148	1	0	3	0	4	10
g2149	4	12	20	7	4	8
g2150	343	326	395	154	346	185
g2151	25	17	39	49	64	69
g2152	61	46	26	41	51	10
g2153	40	41	53	23	103	37
g2154	199	378	166	182	250	42
g2155	40	5	5	0	6	1
g2156	705	421	485	476	384	398
g2157	26	26	11	22	21	27
g2158	1	0	0	0	0	2
g2159	1	397	93	408	139	50
g2160	147	139	211	55	207	130
g2161	49	201	86	125	50	96
g2162	105	100	468	104	59	157
g2163	23	139	0	0	76	0
g2164	489	230	341	24	624	16
g2165	8	9	5	5	2	0
g2166	650	285	315	193	224	186
g2167	1	2	5	1	0	4
g2168	11	4	8	0	0	0
g2169	165	80	38	124	55	88
g2170	4025	5716	4624	2743	2639	2881
g2171	720	629	529	287	589	427
g2172	168	186	204	79	132	122
g2173	565	474	565	289	469	296
g2174	937	1499	1159	810	1565	860
g2175	1	3	2	0	2	0
g2176	9	13	17	3	1	13
g2177	440	507	580	399	656	626
g2178	25	14	16	3	24	11
g2179	41	46	21	16	46	17
g2180	3519	5768	6135	4478	3582	4728
g2181	550	230	451	247	474	327
g2182	19	5	12	26	37	12
g2183	23	3	4	3	13	1
g2184	4569	4376	4042	3213	4207	3374
g2185	289	588	212	175	320	145
g2186	975	834	1682	806	2115	802
g2187	16	18	23	12	20	14
g2188	6	0	5	2	4	10
g2189	2294	1449	1773	1727	2651	1970
g2190	177	586	8	17	40	64
g2191	117	255	255	96	253	351
g2192	303	438	674	508	340	529
g2193	2	0	7	6	5	3
g2194	46	1	5	38	33	0
g2195	214	182	250	70	194	166
g2196	2641	2033	2207	1383	2222	2111
g2197	71	32	25	5	19	30
g2198	523	1171	1968	647	588	1344
g2199	11	0	9	7	8	2
g2200	159	84	105	119	110	113
g2201	1588	1160	1420	973	1805	1100
g2202	3704	3460	3407	1979	4123	2538
g2203	0	0	2	0	0	0
g2204	674	373	376	419	484	407
g2205	150	260	128	125	184	168
g2206	451	328	429	360	370	469
g2207	5	23	4	5	10	10
g2208	359	754	33	535	236	271
g2209	15	6	4	5	11	11
g2210	208	143	154	89	112	181
g2211	2	12	7	9	16	21
g2212	189	59	14	158	85	107
g2213	13	1	11	6	6	8
g2214	31	13	27	23	8	13
g2215	106	60	16	30	8	50
g2216	26	60	83	91	48	75
g2217	25	52	99	62	116	128
g2218	2493	1741	1544	1274	2182	1533
g2219	0	0	4	5	11	0
g2220	15	88	25	6	1	21
g2221	1037	1632	2024	841	590	1600
g2222	2436	1927	2308	1260	2236	1671
g2223	108	11	9	1	18	67
g2224	396	663	664	333	660	322
g2225	3197	2272	1967	1252	992	2074
g2226	1635	1471	1132	774	719	611
g2227	423	411	185	240	265	138
g2228	131	93	106	77	62	63
g2229	4	2	5	3	1	2
g2230	0	3	14	1	1	4
g2231	7	12	1	0	44	36
g2232	1129	744	1130	731	738	743
g2233	72	108	55	8	88	168
g2234	264	253	187	166	219	195
g2235	1430	1324	705	1081	893	768
g2236	2465	1856	1655	1335	1222	1741
g2237	2301	2072	2190	1394	1504	1618
g2238	1086	2079	1072	917	1374	588
g2239	3525	4035	3178	2285	3191	2459
g2240	34	59	117	25	88	82
g2241	600	298	516	238	260	481
g2242	5	3	1	4	3	8
g2243	1	3	6	0	8	1
g2244	69	183	152	51	78	127
g2245	0	0	0	0	0	3
g2246	204	136	220	97	202	236
g2247	3	0	1	0	4	2
g2248	385	264	813	175	553	372
g2249	577	2362	2090	861	4592	3116
g2250	3	11	6	43	210	33
g2251	2	3	2	2	0	0
g2252	284	125	65	29	187	179
g2253	781	704	810	529	1383	901
g2254	225	197	309	141	221	181
g2255	575	517	264	333	461	279
g2256	1	1	69	0	3	7
g2257	50	0	61	18	33	21
g2258	65	71	91	58	145	72
g2259	42	36	52	0	21	18
g2260	203	144	321	181	389	196
g2261	121	133	211	71	105	95
g2262	80	7	3	27	4	11
g2263	66	65	19	17	32	24
g2264	399	363	351	164	364	221
g2265	430	1241	559	470	979	908
g2266	101	96	166	45	143	83
g2267	1116	1560	411	1262	364	510
g2268	985	509	745	599	1103	463
g2269	0	7	0	4	0	1
g2270	289	442	315	159	265	360
g2271	0	2	13	1	9	0
g2272	2512	1277	3178	1084	1998	1485
g2273	543	430	354	299	444	319
g2274	3	7	6	1	3	3
g2275	23	2	2	10	7	5
g2276	1578	2142	2766	1345	1367	1715
g2277	516	393	690	265	545	317
g2278	3169	2549	4120	1545	3660	3043
g2279	1375	1183	1380	930	970	701
g2280	3	59	17	7	12	7
g2281	38	1	9	0	0	3
g2282	22	39	22	9	22	22
g2283	176	126	268	127	103	165
g2284	59	45	46	7	179	47
g2285	873	647	949	544	942	702
g2286	10	9	17	6	18	17
g2287	190	187	136	76	31	88
g2288	33	43	14	4	103	79
g2289	1872	2041	1959	1097	2298	1457
g2290	592	854	1003	314	765	462
g2291	32	16	30	23	14	18
g2292	1	11	11	0	1	0
g2293	30	22	10	0	11	0
g2294	8	293	115	39	6	33
g2295	231	376	600	470	918	435
g2296	3	2	4	3	4	5
g2297	1	23	8	0	4	1
g2298	68	55	44	30	64	52
g2299	187	39	204	47	209	123
g2300	9	30	15	9	72	17
g2301	39	2	47	10	10	16
g2302	2731	2453	1462	2024	1884	1806
g2303	1	0	4	0	23	0
g2304	1972	1727	3012	1610	1423	1486
g2305	884	417	58	324	188	279
g2306	27	222	239	210	276	171
g2307	118	4686	949	434	1277	643
g2308	136	97	73	48	92	65
g2309	39	32	68	38	38	33
g2310	1	1	6	5	6	3
g2311	326	853	505	337	334	997
g2312	10	23	15	17	17	24
g2313	14	17	3	3	9	3
g2314	11734	7974	12320	6196	10302	8427
g2315	1312	925	1929	805	1265	1035
g2316	878	547	484	504	628	507
g2317	81	105	107	60	112	66
g2318	19	14	28	8	28	1
g2319	952	684	469	319	450	393
g2320	4	8	4	4	2	7
g2321	1424	1171	705	1079	1462	925
g2322	373	553	778	253	806	720
g2323	16	13	82	64	31	22
g2324	463	535	594	462	884	507
g2325	123	70	46	34	69	59
g2326	2522	1685	1283	1274	1820	1273
g2327	0	5	12	6	7	17
g2328	112	42	153	90	126	69
g2329	1458	1706	1336	748	1590	2095
g2330	615	459	833	460	618	414
g2331	22	42	36	11	44	52
g2332	6577	9483	8245	2332	5817	4283
g2333	1373	382	405	1494	126	1143
g2334	130	107	221	158	114	178
g2335	837	239	1020	204	298	831
g2336	84	61	62	25	104	93
g2337	7	0	8	5	0	0
g2338	344	394	524	173	285	753
g2339	0	3	2	0	1	2
g2340	1	34	12	8	7	32
g2341	944	508	675	737	844	778
g2342	5015	3717	4605	3149	5558	2226
g2343	2366	2897	3335	2446	2447	2169
g2344	130	198	266	106	133	75
g2345	286	225	336	378	183	200
g2346	371	296	188	147	132	163
g2347	16	19	6	18	23	27
g2348	8	0	0	1	11	4
g2349	138	290	194	103	144	113
g2350	726	1368	462	640	1079	437
g2351	280	296	465	403	371	625
g2352	1152	1738	1860	2118	1638	1409
g2353	3	14	2	9	3	1
g2354	609	1093	768	652	656	564
g2355	215	302	302	193	205	165
g2356	2	2	1	1	1	4
g2357	59	99	36	62	99	100
g2358	79	192	303	110	129	121
g2359	3	4	4	5	13	5
g2360	6543	4072	4775	2092	3381	5014
g2361	114	117	85	75	80	69
g2362	612	896	1473	617	937	581
g2363	12	7	6	3	7	2
g2364	196	115	87	116	75	127
g2365	9	2	14	1	1	2
g2366	3667	1895	354	778	1803	1060
g2367	117	225	454	205	102	5
g2368	5263	5418	4006	3200	4977	1530
g2369	7	61	57	13	22	4
g2370	6868	15439	13639	7891	9565	10755
g2371	340	375	298	204	371	203
g2372	4053	3576	4164	2359	5057	3633
g2373	2186	3538	3154	1819	3695	905
g2374	1235	1314	1096	640	893	1047
g2375	1754	1110	581	1431	1149	708
g2376	3694	4374	2643	1987	5809	3088
g2377	11314	7911	13973	6473	10325	10327
g2378	41	30	66	54	29	125
g2379	1	2	0	4	0	0
g2380	1624	1173	1129	1213	1806	700
g2381	12326	9766	3778	3837	8145	4779
g2382	2	2	4	2	4	3
g2383	4539	3346	3216	1774	2399	2379
g2384	24	13	19	14	39	11
g2385	10	0	10	0	4	4
g2386	89	12	64	20	93	20
g2387	8	1	7	0	7	3
g2388	16	21	13	39	13	3
g2389	72	110	49	59	90	53
g2390	1016	829	829	853	1270	633
g2391	4	0	2	4	1	1
g2392	2	0	0	2	17	62
g2393	3525	2831	6131	2743	4008	4088
g2394	183	315	547	59	242	381
g2395	532	274	387	284	321	451
g2396	270	311	316	160	352	435
g2397	75	70	238	45	142	128
g2398	492	344	999	374	980	674
g2399	7	9	3	8	16	16
g2400	1664	1478	2925	2489	2902	1834
g2401	1250	1771	2129	950	1304	2001
g2402	18	36	34	10	7	52
g2403	56	132	38	59	75	41
g2404	1093	299	704	411	644	481
g2405	197	216	292	164	235	162
g2406	235	92	90	151	158	59
g2407	600	61	66	107	85	178
g2408	550	326	494	318	497	561
g2409	3	7	7	13	5	9
g2410	557	909	675	382	542	471
g2411	9	7	2	3	3	0
g2412	10	24	22	10	34	8
g2413	781	684	866	782	706	716
g2414	35	91	89	59	60	96
g2415	7503	9131	10183	6436	7484	5962
g2416	3790	929	1518	849	2445	1369
g2417	42	24	23	27	42	21
g2418	41	49	44	24	60	59
g2419	4	2	20	1	0	9
g2420	823	1552	1124	317	1029	262
g2421	2	3	1	3	2	3
g2422	61	63	110	104	35	67
g2423	2887	3258	2057	1242	2971	4287
g2424	43	146	138	69	30	32
g2425	10	17	28	10	19	13
g2426	29	29	44	20	44	22
g2427	8	11	13	5	12	9
g2428	33	3	5	16	22	14
g2429	227	271	391	179	223	210
g2430	1148	1448	717	1073	1118	2158
g2431	344	157	231	254	267	549
g2432	1124	1313	1987	1099	1637	2084
g2433	12	14	17	7	29	14
g2434	236	91	196	105	164	180
g2435	39	46	49	8	96	83
g2436	26	1	2	68	5	9
g2437	6366	5717	4963	3378	4883	4274
g2438	394	107	181	333	87	157
g2439	5	3	8	1	2	4
g2440	28	36	13	12	24	24
g2441	261	63	241	170	219	113
g2442	1008	958	877	234	399	1533
g2443	2820	2127	3247	2647	2176	1873
g2444	235	214	270	179	317	218
g2445	1	4	4	1	0	3
g2446	308	287	456	85	349	179
g2447	5	0	10	10	5	7
g2448	2	0	0	6	14	4
g2449	2379	2322	3338	2088	2045	3169
g2450	219	497	847	277	903	675
g2451	321	170	619	39	282	219
g2452	1553	545	1071	807	1439	772
g2453	3721	2639	3645	2568	4160	3081
g2454	8	17	9	1	23	23
g2455	964	222	615	797	599	768
g2456	28	63	56	21	38	39
g2457	358	296	226	113	128	243
g2458	918	2109	1905	1093	2243	1260
g2459	97	94	66	141	87	198
g2460	400	617	362	677	788	542
g2461	482	748	717	361	559	453
g2462	15	16	9	7	25	9
g2463	3238	5611	4971	2635	4358	1871
g2464	1	5	1	2	3	9
g2465	17	8	26	22	60	9
g2466	470	460	266	224	281	332
g2467	2306	1718	3849	2406	3923	2401
g2468	82	59	40	33	55	57
g2469	113	413	627	168	275	337
g2470	908	811	485	438	966	1170
g2471	785	849	1266	555	370	406
g2472	45	20	61	43	61	193
g2473	48	54	55	26	53	41
g2474	917	572	628	466	551	297
g2475	3960	2658	3311	2390	2561	1567
g2476	6	5	13	4	1	6
g2477	891	1367	1799	1223	1173	1259
g2478	789	1107	1034	79	881	962
g2479	224	99	222	76	81	64
g2480	0	66	368	0	61	0
g2481	34	19	66	9	2	13
g2482	15	23	15	7	5	21
g2483	150	233	142	53	145	72
g2484	0	2	3	4	5	2
g2485	1382	1150	1516	1079	711	766
g2486	0	1	6	0	4	0
g2487	1	10	206	6	2	4
g2488	60	0	43	20	3	10
g2489	296	318	491	309	417	394
g2490	1380	619	1022	496	811	778
g2491	56	9	60	49	115	37
g2492	13	3	6	8	6	2
g2493	296	267	226	157	391	477
g2494	20	15	15	5	26	20
g2495	292	302	275	191	223	161
g2496	7	7	5	1	9	2
g2497	0	8	3	1	20	12
g2498	1186	1231	1681	837	1596	1253
g2499	22	11	12	16	5	21
g2500	1893	1130	1073	897	1015	685
g2501	1855	417	889	1955	1614	236
g2502	922	342	309	235	399	404
g2503	33	52	162	102	90	82
g2504	2350	3687	2366	1585	1965	1559
g2505	2149	3215	2734	2057	2862	1556
g2506	1373	988	964	827	1211	898
g2507	16	4	34	0	12	2
g2508	35	180	6	24	5	1
g2509	14	9	19	5	9	8
g2510	104	33	62	27	102	47
g2511	7	1	9	2	14	11
g2512	113	103	133	117	268	148
g2513	72	5	33	19	43	54
g2514	1703	4067	1378	2205	3053	2347
g2515	13	9	16	8	7	4
g2516	537	799	341	178	561	247
g2517	23	54	63	33	42	19
g2518	17	4	5	1	3	2
g2519	2	22	27	23	27	10
g2520	39	121	224	72	217	104
g2521	26	23	23	22	19	16
g2522	1889	3582	2980	1872	2280	3848
g2523	7	0	1	2	8	38
g2524	84	83	431	143	327	46
g2525	367	232	590	181	300	702
g2526	2271	3019	2873	961	4799	1944
g2527	7	1	0	7	1	1
g2528	0	2	0	0	0	0
g2529	86	112	180	86	222	230
g2530	8	14	15	12	19	18
g2531	34	64	49	14	37	34
g2532	3	6	2	3	0	0
g2533	3792	2901	1980	3157	1735	1297
g2534	25	1	1	2	4	6
g2535	29	7	11	16	37	2
g2536	16	2	1	3	2	0
g2537	405	398	379	354	523	312
g2538	1532	2365	1818	996	1976	1449
g2539	159	105	159	118	86	83
g2540	106	106	173	123	103	104
g2541	4	7	4	5	12	5
g2542	7	35	12	0	16	10
g2543	7	5	14	2	9	3
g2544	350	574	1668	475	781	1311
g2545	145	172	196	58	146	48
g2546	232	465	245	64	480	36
g2547	105	36	113	92	737	17
g2548	402	295	485	338	352	371
g2549	88	149	292	74	109	251
g2550	14	11	9	3	5	7
g2551	2582	2125	2821	2476	812	196
g2552	72	92	104	66	86	74
g2553	3449	17611	6252	4548	5160	6540
g2554	7	28	15	7	19	6
