	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12
g1739	66	127	33	53	301	269	19	44	76	42	114	602
g1740	34	39	56	53	50	27	72	66	49	26	57	21
g1741	3	4	5	0	5	7	2	4	7	5	3	3
g1742	5	9	13	3	6	24	19	47	14	9	19	7
g1743	71	37	35	87	91	139	101	177	62	67	66	84
g1744	661	892	808	1046	1033	978	944	815	725	1205	960	551
g1745	1	3	4	0	1	12	1	0	4	3	2	0
g1746	386	597	422	541	465	990	332	390	487	408	560	214
g1747	30	26	31	18	26	24	22	16	18	27	26	12
g1748	2	4	1	35	9	0	0	0	2	9	4	0
g1749	11	0	0	0	0	0	0	18	3	0	0	23
g1750	3133	4060	3842	5686	5641	5554	4412	3976	5406	4042	5738	2553
g1751	20	15	5	14	9	19	11	7	15	8	17	10
g1752	10	11	31	1	11	40	29	9	25	4	11	2
g1753	1767	1892	1997	2314	2454	2963	3328	2833	1536	2869	2821	1529
g1754	107	29	2	8	55	13	1	2	3	19	5	5
g1755	933	750	1324	976	539	1580	532	1242	1356	898	1390	373
g1756	1081	1031	1676	1917	1399	1638	1401	1722	2095	2086	1451	996
g1757	365	254	1773	173	1739	1472	831	2018	1430	891	793	748
g1758	1092	1460	1743	2744	1310	2769	2567	2212	1171	2322	1465	561
g1759	151	82	75	1	72	27	81	195	91	138	58	66
g1760	252	29	121	28	265	28	158	28	220	168	38	62
g1761	84	20	15	28	32	115	49	41	35	55	53	32
g1762	17	3	8	10	20	2	5	17	5	10	0	25
g1763	899	1257	1174	1524	865	1157	617	1205	1047	1857	1254	319
g1764	0	0	0	13	34	2	1	0	3	0	20	0
g1765	176	721	289	294	285	571	264	443	201	156	642	198
g1766	178	58	86	57	93	47	82	159	73	158	86	43
g1767	65	63	29	37	55	45	51	36	38	90	52	26
g1768	502	419	584	516	739	354	105	540	235	923	1223	265
g1769	68	44	45	64	54	62	84	172	14	91	129	49
g1770	3165	1405	1302	3033	1789	2648	2077	1689	2381	2186	2266	1283
g1771	0	0	0	0	14	0	0	0	7	0	0	1
g1772	1267	1707	1703	894	889	1353	1995	1312	1201	1464	1106	938
g1773	209	57	26	158	36	43	144	0	4	196	75	13
g1774	8	20	6	13	16	29	9	9	14	12	3	4
g1775	1326	7796	3992	4349	2685	7957	4382	5098	3468	2969	5717	5642
g1776	187	73	19	31	10	161	71	71	6	33	42	13
g1777	1451	2190	1613	2102	2496	1056	1634	1402	1214	2052	2080	743
g1778	342	221	450	436	404	322	255	504	448	577	443	257
g1779	3	1	2	9	2	5	5	4	3	1	1	1
g1780	1681	1489	1440	2067	1214	2079	2409	2724	1181	1485	2015	1321
g1781	22	57	69	32	43	25	16	26	19	23	21	5
g1782	40	40	34	3	85	143	17	5	21	33	9	2
g1783	118	125	167	105	116	276	165	76	103	87	72	168
g1784	26	28	38	36	54	58	66	43	12	56	40	50
g1785	496	545	911	434	419	749	648	400	197	667	676	213
g1786	220	280	502	841	334	321	525	592	149	81	300	420
g1787	111	174	105	91	109	163	146	117	127	157	126	68
g1788	814	909	1207	1377	1028	1420	354	818	618	1218	801	888
g1789	857	563	1305	1299	1119	730	991	1602	1661	1263	1258	377
g1790	115	47	125	0	221	84	151	9	32	55	229	138
g1791	231	1011	845	1206	846	425	1106	1556	1368	738	1610	783
g1792	273	201	289	597	416	619	341	538	256	295	610	182
g1793	6	13	10	7	5	5	14	15	10	4	10	3
g1794	0	0	0	10	1	0	5	1	0	0	0	1
g1795	480	323	490	321	103	158	105	113	73	122	368	100
g1796	315	280	428	457	260	301	364	291	271	417	334	219
g1797	773	1142	797	1291	411	324	673	690	516	619	937	548
g1798	49	30	37	30	32	37	49	67	34	30	21	58
g1799	15	43	81	246	146	315	89	141	237	30	303	74
g1800	61	20	60	26	1	97	31	46	69	117	117	22
g1801	1356	1765	1820	1541	1830	1614	1242	1422	1427	805	1199	686
g1802	499	1059	627	934	727	616	660	633	489	672	229	212
g1803	8624	5406	8384	4302	15407	9786	12072	10527	6818	13986	10561	5218
g1804	78	85	63	36	100	69	19	68	137	106	112	28
g1805	4	0	1	0	6	3	1	3	2	0	0	2
g1806	104	33	21	64	115	24	32	48	26	55	123	65
g1807	2261	924	1608	3132	3383	5506	1436	1716	1646	2952	3036	749
g1808	0	0	1	0	25	9	3	0	0	41	9	1
g1809	1079	1456	1647	661	989	3426	1507	1285	1016	3821	2152	1030
g1810	4	21	11	73	20	35	32	3	16	27	10	1
g1811	146	224	263	176	324	207	217	207	118	287	170	127
g1812	1359	1188	1732	1134	1417	2050	1182	1024	1233	1600	909	866
g1813	3	8	4	4	7	5	3	2	4	3	7	1
g1814	8	1	11	16	16	12	10	23	4	47	21	1
g1815	4336	4149	4744	5067	5120	9672	6785	4088	5342	4534	7818	2735
g1816	3	2	4	9	12	3	0	0	3	27	2	4
g1817	5	11	1	5	6	1	2	10	0	19	14	4
g1818	33	10	25	15	21	88	18	14	31	32	14	8
g1819	145	18	111	136	10	107	43	43	19	242	226	27
g1820	3	1	0	1	13	0	1	20	18	9	1	0
g1821	68	101	249	178	97	55	106	255	224	144	221	71
g1822	6	19	33	16	7	18	26	12	1	4	13	1
g1823	148	107	89	159	173	196	110	90	108	151	138	69
g1824	9	6	6	8	4	10	5	11	6	15	14	4
g1825	27	196	3	41	46	234	54	90	24	3	1	19
g1826	6	22	10	10	15	1	6	2	15	14	1	16
g1827	21108	10916	25001	27961	26622	54133	25174	29052	25370	24538	21172	13034
g1828	1	1	3	1	0	4	4	1	0	4	1	1
g1829	0	0	11	0	4	2	2	0	18	4	42	0
g1830	5	17	3	24	16	39	37	53	15	4	8	0
g1831	973	1028	1406	1912	870	1294	1334	998	1356	1357	1061	582
g1832	910	1030	2213	1602	2491	835	655	1373	890	1538	1299	713
g1833	1	2	5	5	3	12	2	4	4	17	14	17
g1834	107	392	1029	378	470	1144	104	533	991	851	1455	71
g1835	2505	1682	1323	2779	1147	3497	1281	2431	1525	2015	3075	589
g1836	38	15	34	92	73	55	71	76	21	17	51	20
g1837	439	761	666	468	612	751	385	571	513	714	1184	597
g1838	577	810	357	1261	1201	1350	555	691	626	642	879	516
g1839	238	319	204	355	274	386	264	155	144	258	285	68
g1840	55	157	127	140	114	241	110	102	86	143	218	107
g1841	669	952	810	737	774	1336	992	867	1166	936	1032	611
g1842	203	340	429	277	393	335	275	302	229	389	340	169
g1843	995	613	396	682	480	2492	756	1194	1087	1203	1353	836
g1844	17	14	15	17	23	20	11	9	26	7	13	12
g1845	10	3	6	47	4	12	2	2	12	1	22	1
g1846	232	219	281	596	379	341	474	427	306	457	536	181
g1847	144	191	294	286	133	264	137	289	145	277	394	129
g1848	342	954	1121	59	353	1879	433	546	486	700	593	102
g1849	1	0	3	8	2	1	6	1	0	9	2	0
g1850	11	63	68	120	83	97	37	18	27	72	83	12
g1851	396	1415	749	796	219	412	441	1838	826	785	121	595
g1852	5781	4015	5399	5495	5891	5525	6585	5303	3882	6196	7718	3976
g1853	504	226	519	617	595	719	436	575	399	337	543	344
g1854	196	331	360	270	438	169	229	211	103	338	303	191
g1855	205	122	117	198	208	159	132	99	168	256	139	75
g1856	774	1099	580	1437	1525	1453	719	1142	1204	1358	1380	896
g1857	839	558	865	760	724	944	744	613	668	1043	785	502
g1858	1	1	29	0	24	41	8	1	2	15	0	10
g1859	9	412	335	119	98	652	90	377	32	745	83	109
g1860	1661	631	1192	824	3031	2064	2131	928	743	1889	1214	862
g1861	41	53	41	65	33	65	29	66	45	65	125	16
g1862	1	0	0	18	11	8	0	4	0	1	0	5
g1863	84	62	75	118	52	38	70	56	94	56	91	34
g1864	1	12	29	26	6	17	2	197	17	58	50	44
g1865	87	131	220	176	252	381	96	207	148	260	180	76
g1866	17854	9599	16449	12016	19130	18211	12979	15660	16575	13354	23222	6209
g1867	15	60	55	55	52	11	35	48	20	55	86	28
g1868	11	39	88	40	86	31	40	82	7	80	27	34
g1869	5	10	16	5	14	7	4	2	40	5	9	13
g1870	928	376	506	566	832	758	588	752	452	223	482	203
g1871	163	427	466	1502	516	353	628	126	479	253	478	198
g1872	9	6	8	2	0	10	9	24	4	1	9	6
g1873	264	103	345	122	651	334	310	277	208	263	114	93
g1874	1821	2905	2319	1852	2985	4990	2680	3727	4032	4886	4503	1275
g1875	13	30	31	49	17	16	61	30	51	34	74	16
g1876	1051	1944	956	2689	2091	2471	2681	1629	2516	1680	1493	1392
g1877	0	0	1	2	37	5	3	0	0	0	1	16
g1878	3	7	2	0	1	1	4	1	1	4	7	5
g1879	3	5	2	1	25	1	2	10	1	1	1	8
g1880	133	236	229	149	199	408	151	227	169	276	438	68
g1881	76	41	566	409	356	237	417	128	99	6	59	2
g1882	15	19	13	75	22	87	16	58	40	38	41	1
g1883	338	194	1352	2321	300	765	413	709	605	158	768	116
g1884	119	39	130	90	35	20	1	34	123	86	7	2
g1885	33	34	19	50	23	28	17	31	17	63	33	12
g1886	1452	1695	1877	2315	2732	1900	1966	1380	1604	2712	1904	927
g1887	973	1627	1252	684	866	1200	857	1318	1247	1166	928	430
g1888	20	44	10	13	40	41	5	31	21	12	17	17
g1889	11	15	18	21	13	25	19	12	5	10	17	8
g1890	1760	2082	3313	4828	1978	2303	1713	3863	2353	2253	3327	1879
g1891	5	0	1	2	8	0	7	0	14	14	1	8
g1892	6	2	2	27	6	25	42	2	0	10	8	0
g1893	61	84	62	70	62	45	133	93	35	48	74	46
g1894	772	1107	1642	992	2484	1300	1023	866	1789	631	1158	1132
g1895	84	164	82	114	101	287	207	63	96	178	207	103
g1896	83	59	26	10	0	17	49	7	19	24	22	10
g1897	19	0	149	260	1	9	2	226	75	0	11	0
g1898	4	13	9	10	15	12	5	12	8	10	16	3
g1899	11	6	63	15	12	12	1	1	2	9	1	15
g1900	9284	12672	10501	15086	11340	10436	12415	7828	9981	15060	11891	7282
g1901	401	226	223	299	276	584	348	441	231	442	167	188
g1902	0	4	4	11	7	5	3	6	2	12	11	1
g1903	3828	4447	7601	5463	6221	10271	3373	3125	3058	5644	8252	2321
g1904	108	176	152	227	55	192	228	175	259	175	377	139
g1905	967	280	1695	609	1023	896	720	1070	527	658	990	675
g1906	311	262	289	332	344	377	371	379	218	257	283	153
g1907	5	3	9	0	13	6	3	4	2	6	2	1
g1908	1510	1529	2027	3016	1675	2966	1248	1558	2288	1933	2587	1292
g1909	4	0	6	5	8	5	4	9	8	4	6	4
g1910	18	12	1	14	4	3	6	3	16	10	2	0
g1911	55	21	39	111	127	94	69	48	58	26	14	23
g1912	41	28	0	54	37	94	27	60	62	18	1	52
g1913	3	14	9	8	15	11	13	38	50	9	41	1
g1914	221	281	585	472	212	459	498	382	226	412	313	196
g1915	3	4	11	5	13	4	6	6	2	4	4	4
g1916	1543	3003	1057	3032	2226	3066	1482	3117	1551	2391	3149	1248
g1917	1434	736	2852	2964	2097	1386	995	2549	1501	1287	2026	1132
g1918	31	25	23	14	2	46	18	30	37	29	45	9
g1919	14	11	19	32	30	19	8	17	11	7	10	11
g1920	318	1335	372	1433	773	1127	487	1009	1017	600	679	288
g1921	136	337	352	238	96	573	132	135	292	247	187	288
g1922	126	248	480	82	607	261	123	160	136	316	427	58
g1923	2	0	36	1	9	6	0	0	0	0	5	0
g1924	1300	1848	2644	1513	1602	2336	1814	1465	1270	1325	1923	1081
g1925	23	53	5	49	4	2	22	62	24	27	108	2
g1926	137	69	103	123	343	238	86	131	179	208	149	122
g1927	9	14	20	6	20	25	16	13	27	19	26	6
g1928	133	76	52	58	60	85	47	54	25	64	51	42
g1929	0	4	17	1	11	0	0	2	3	6	0	0
g1930	897	1262	844	1565	1697	1466	912	1346	1206	1590	1655	816
g1931	18	43	27	21	39	62	34	29	36	25	38	18
g1932	51	7	0	10	10	0	4	2	23	8	20	0
g1933	12060	9458	10407	10371	7148	19863	13202	7974	5067	20735	14666	9606
g1934	239	239	238	224	246	770	198	366	54	619	80	49
g1935	2	7	2	10	0	6	0	0	1	1	7	2
g1936	79	278	134	54	141	2	150	83	152	55	112	125
g1937	11	17	9	5	13	12	6	26	13	44	11	9
g1938	75	72	152	111	162	134	98	106	111	99	123	47
g1939	335	534	704	1051	280	575	496	849	600	662	622	328
g1940	2692	7954	6646	2495	1867	2875	4645	2314	2902	5858	2962	3266
g1941	1453	1641	2982	1926	1013	1760	2207	1634	1952	2457	3623	996
g1942	452	219	573	258	414	403	60	185	236	680	678	273
g1943	3	3	16	2	0	38	0	2	150	3	26	0
g1944	5009	5522	5183	10640	5269	7903	5798	5169	6379	3663	6860	3604
g1945	7773	3143	6953	9406	5517	10873	3377	6763	2526	4650	12415	5907
g1946	11	6	15	15	14	9	13	15	11	33	12	0
g1947	10514	9763	12588	8384	10159	21349	17745	6311	8551	12819	11673	7893
g1948	596	501	940	560	641	1724	1011	870	1131	764	767	524
g1949	19	8	17	0	7	18	10	4	1	24	11	11
g1950	179	598	1170	442	1017	1000	702	880	264	720	1204	455
g1951	9271	38396	31524	5193	1177	6905	41966	6287	8107	19277	13008	14436
g1952	51	77	145	113	19	34	39	1	9	44	104	118
g1953	136	188	240	226	166	239	210	253	79	187	130	135
g1954	100	136	153	162	137	176	96	108	68	114	155	46
g1955	71	65	80	55	68	139	77	72	66	41	76	44
g1956	2344	1916	2304	2470	2119	2242	2016	2665	1701	2813	2798	1556
g1957	0	5	4	10	4	4	9	2	3	1	0	2
g1958	204	196	289	264	224	203	131	262	75	388	113	87
g1959	1	9	0	7	13	4	3	8	5	13	41	16
g1960	0	0	5	0	0	1	0	0	4	1	13	0
g1961	1	5	1	4	20	5	7	23	8	5	4	6
g1962	9	37	28	13	23	28	38	14	30	25	33	24
g1963	3373	3418	3335	5063	4972	4899	4756	4153	3790	6319	3415	1952
g1964	2	126	6	47	46	2	2	76	42	71	20	0
g1965	450	510	429	1184	701	984	1919	568	438	3773	1051	931
g1966	4636	3503	4266	5080	4254	6456	4954	4607	4760	4825	5187	1924
g1967	152	68	164	183	273	197	161	168	109	146	172	97
g1968	743	2714	3916	643	245	1249	488	1199	2931	4162	2758	884
g1969	415	638	876	433	598	706	483	582	649	637	903	322
g1970	102	298	175	146	369	404	94	310	78	148	114	72
g1971	60	33	72	111	34	32	28	41	22	79	56	24
g1972	433	180	186	240	351	411	410	199	86	163	452	173
g1973	42	2	64	40	125	24	6	29	68	50	22	29
g1974	56	55	27	43	198	79	31	83	213	244	334	54
g1975	344	190	221	173	286	227	251	226	148	223	277	132
g1976	267	553	744	1076	704	1612	571	664	818	1179	1334	645
g1977	8	14	13	9	4	8	23	1	16	11	23	23
g1978	1	0	56	1	0	1	6	111	29	3	9	4
g1979	81	627	446	293	499	152	97	450	605	242	89	273
g1980	43	26	10	40	68	12	48	21	58	33	85	1
g1981	29	25	39	52	18	29	60	44	34	40	34	28
g1982	8	4	13	61	57	2	2	2	4	21	31	2
g1983	0	32	0	6	1	1	10	0	0	0	0	4
g1984	228	98	212	312	170	242	184	179	136	255	491	67
g1985	0	2	7	9	5	7	0	1	2	0	4	5
g1986	1	1	27	1	5	878	19	2	2	1	1804	2
g1987	91	111	137	91	136	135	112	133	99	169	88	73
g1988	8	4	11	1	5	11	10	7	6	10	12	2
g1989	0	9	29	21	0	0	0	0	0	0	0	0
g1990	10680	15968	17251	16657	12302	14040	7749	16104	6141	16854	8533	7628
g1991	0	0	0	8	12	5	89	2	5	1	0	3
g1992	238	1989	447	1679	106	296	760	1075	928	1009	749	265
g1993	392	959	694	1060	625	1761	938	669	789	1091	1650	728
g1994	53	10	36	36	20	19	6	12	0	27	13	3
g1995	1921	3045	2684	3400	2580	3289	2227	3245	2788	3362	2945	1739
g1996	1472	1063	1546	1758	1061	2655	2130	974	1246	1946	1904	1217
g1997	337	980	601	1240	783	991	553	331	856	657	1025	163
g1998	8	3	9	11	6	6	10	8	4	7	8	2
g1999	1060	790	801	504	736	1244	1133	1182	1800	794	618	448
g2000	79	258	145	171	139	254	97	139	18	86	151	3
g2001	314	392	269	425	234	299	117	273	257	358	353	152
g2002	319	467	686	127	489	237	462	1020	350	325	258	426
g2003	81	78	83	83	82	28	40	114	58	91	57	35
g2004	7763	9864	9471	8398	9761	14257	9678	5888	6068	10385	13971	5218
g2005	1102	1149	1588	2442	2832	3315	2076	2930	1978	1626	1433	1403
g2006	344	115	393	121	210	315	414	73	129	589	346	105
g2007	866	598	433	1104	1055	913	1769	1147	1272	1639	991	344
g2008	923	657	1070	1311	876	1533	1016	380	1517	1499	1122	840
g2009	1158	839	1496	774	5406	1351	756	1423	1765	1499	1095	849
g2010	964	1230	2017	2493	2079	2195	1553	2773	1462	1255	1910	1082
g2011	1027	1059	1029	648	1188	1747	1094	1085	754	1874	1466	778
g2012	18	10	5	13	3	11	3	13	4	6	13	0
g2013	1809	1735	2187	2584	2007	5798	1405	3312	2211	3005	1589	1494
g2014	202	301	192	407	200	275	173	190	144	350	326	166
g2015	916	1425	680	1572	282	1224	1270	907	3682	919	1230	545
g2016	729	497	621	669	1129	1236	1206	809	1178	1081	715	631
g2017	280	259	233	249	145	626	302	281	312	296	346	233
g2018	1823	425	57	675	337	273	425	804	44	186	514	190
g2019	1388	795	1349	1265	1375	1910	1444	1077	1112	946	1773	534
g2020	2587	4664	1669	2783	3877	3748	3310	3714	4568	3340	4927	1922
g2021	2068	1416	4372	1835	1074	1535	878	1318	1069	1560	979	505
g2022	31	10	72	0	45	27	43	23	15	100	102	74
g2023	0	4	0	2	3	5	1	9	8	6	1	4
g2024	409	936	700	518	446	1029	451	748	559	592	259	438
g2025	13	152	37	76	94	59	8	56	45	76	141	45
g2026	12	164	393	387	62	343	280	374	169	236	987	56
g2027	8	6	11	25	51	78	2	17	13	6	3	0
g2028	2700	3521	3086	4010	2440	2479	3628	3236	866	3369	2947	1584
g2029	13619	11747	6037	6292	12519	6771	4020	8727	3108	6638	18080	5723
g2030	502	552	684	763	758	722	918	707	262	860	626	580
g2031	76	212	21	90	82	63	113	55	93	83	198	3
g2032	64	130	269	504	41	83	392	119	119	293	578	102
g2033	29	7	16	4	6	6	9	7	4	10	7	7
g2034	591	1416	1034	807	1310	754	766	1717	704	901	1195	467
g2035	1660	1601	1818	1854	2617	3489	2746	1400	2160	3880	3658	1429
g2036	27	86	99	153	161	128	89	167	126	183	168	89
g2037	290	346	383	390	312	395	371	421	383	330	371	285
g2038	1	6	165	12	42	3	17	60	13	2	210	27
g2039	31	20	40	70	50	59	49	52	20	56	47	34
g2040	146	88	14	42	100	117	131	60	126	124	135	21
g2041	493	576	220	749	487	614	766	300	965	712	400	509
g2042	851	599	1125	1428	577	1012	793	478	1040	910	1006	268
g2043	16	10	11	3	6	9	7	5	10	13	9	9
g2044	953	1742	1264	1153	1292	1290	1137	866	1518	1590	1393	1383
g2045	2	0	0	11	11	0	1	1	0	15	0	0
g2046	1	4	4	4	7	3	5	1	2	6	0	5
g2047	70	42	25	63	9	46	16	9	35	53	28	12
g2048	101	130	66	106	192	58	215	79	50	185	235	63
g2049	0	6	19	4	10	17	5	8	4	9	3	6
g2050	78	254	403	294	72	332	75	226	202	386	79	114
g2051	330	409	1273	1369	1396	1539	579	303	1031	1376	878	935
g2052	2773	4083	4453	6187	3760	5025	5382	5758	2780	3447	8665	3020
g2053	501	547	469	882	683	672	478	518	534	702	629	254
g2054	310	75	391	243	276	382	310	301	116	230	464	227
g2055	89	166	369	591	427	595	287	318	321	504	602	171
g2056	272	390	301	245	369	387	353	175	136	482	245	159
g2057	126	142	154	178	151	161	163	159	126	156	158	91
g2058	1459	1854	1443	1911	1851	2624	1638	2661	2414	2187	2283	734
g2059	201	311	121	335	177	121	107	54	158	96	111	82
g2060	223	412	230	185	204	471	255	828	430	464	498	94
g2061	1400	705	583	428	868	737	1041	805	385	758	818	248
g2062	1552	958	987	1066	910	966	1354	833	1080	1188	801	619
g2063	431	725	611	540	526	906	462	701	517	464	440	382
g2064	12	9	1	14	29	26	19	28	11	19	3	7
g2065	527	306	156	342	275	490	277	124	321	196	251	240
g2066	46	45	73	41	17	91	91	142	64	113	27	28
g2067	47	45	64	71	97	91	80	47	74	71	76	57
g2068	982	1119	664	1958	1650	1318	1251	847	1838	875	1237	609
g2069	88	77	107	106	83	76	37	52	44	55	106	28
g2070	2	5	12	2	6	3	2	0	19	5	9	2
g2071	2240	2257	3212	4655	2013	3233	2579	2600	2392	2233	3447	1627
g2072	992	1234	1566	1124	1548	1201	541	1142	1124	1065	1318	593
g2073	82	136	83	209	135	184	126	79	295	55	236	47
g2074	18	25	18	25	14	15	32	31	20	21	20	12
g2075	1402	1014	2274	4420	2861	2469	2271	2436	1860	2716	1896	1795
g2076	300	194	269	566	241	550	430	515	175	183	495	438
g2077	99	203	55	177	234	295	298	158	241	292	202	152
g2078	1489	974	476	1165	1576	712	590	1386	1131	443	818	865
g2079	44	37	73	57	124	102	75	64	106	66	117	33
g2080	107	60	33	172	31	73	15	19	90	60	144	53
g2081	540	576	732	733	615	1363	734	944	1052	1014	768	592
g2082	1270	1052	1372	1865	896	1515	1135	1197	1162	1828	1211	595
g2083	0	0	1	0	0	0	2	12	10	6	83	0
g2084	16	23	21	27	20	26	35	36	46	50	36	8
g2085	292	412	487	366	421	341	253	585	427	449	365	258
g2086	446	366	540	566	693	880	684	499	528	461	695	444
g2087	3941	1848	2105	4308	2064	5091	1838	3988	2042	1825	4383	1601
g2088	6	6	2	4	13	2	4	4	4	8	1	1
g2089	2521	1534	597	472	3020	632	1243	716	888	2260	2629	1670
g2090	22	20	85	28	33	48	57	5	31	51	30	26
g2091	224	564	255	532	1658	2307	910	1496	2229	747	836	413
g2092	34	48	56	138	111	163	73	18	55	47	35	35
g2093	567	1043	535	665	599	770	393	793	526	624	790	426
g2094	103	23	52	121	92	40	96	137	60	104	22	78
g2095	15	80	81	23	92	85	68	42	45	53	108	35
g2096	1454	3313	2663	4183	1845	2514	2009	1308	1045	2031	2298	1953
g2097	1813	1396	1869	1769	1833	2102	1716	1890	1471	2467	2174	1107
g2098	580	975	564	208	513	842	555	775	285	906	370	724
g2099	1794	1302	1045	3401	1162	390	1542	1483	334	370	2459	855
g2100	8	2	2	13	0	11	2	2	1	2	7	2
g2101	22	27	19	37	35	25	12	16	19	39	19	10
g2102	79	115	138	224	761	447	2437	343	255	322	430	233
g2103	349	336	342	601	505	402	339	349	298	467	392	228
g2104	576	837	549	1088	1060	1392	899	811	837	1615	1334	642
g2105	1681	2961	1529	6982	3423	4885	2698	2521	3192	3548	3451	2316
g2106	1187	634	403	247	477	439	411	618	1366	2044	726	147
g2107	1448	1218	1598	2032	1497	1451	1710	1202	1579	1112	1688	599
g2108	371	321	377	423	236	414	276	244	239	182	380	126
g2109	431	1367	908	1077	1574	1201	1749	526	1666	1007	1523	1092
g2110	24	53	65	34	27	28	60	36	24	60	58	33
g2111	9485	12191	13730	13796	9787	17354	12024	9532	12152	13008	16744	7092
g2112	826	768	1088	846	1500	576	465	1125	1217	1257	947	171
g2113	34	10	12	10	29	20	14	3	17	11	14	2
g2114	430	483	660	454	410	522	449	283	304	1261	965	370
g2115	880	613	1646	1761	1945	1954	2579	878	1026	3045	2791	520
g2116	8431	9912	8347	11153	9760	13062	7065	13868	9432	11325	12116	6016
g2117	3534	2420	1402	3156	3776	2613	2605	1979	1176	3852	3247	2324
g2118	14	7	5	69	58	52	67	9	35	4	21	9
g2119	657	640	558	990	417	466	444	422	588	641	540	396
g2120	238	207	177	106	198	58	180	140	169	262	143	298
g2121	170	54	52	20	39	279	28	57	82	110	7	8
g2122	908	387	234	421	233	486	450	184	870	612	732	493
g2123	8856	9353	10794	7751	5862	11406	10755	4370	11752	5655	12181	3390
g2124	383	746	1038	107	518	461	573	841	509	450	1262	702
g2125	4928	4344	5104	7155	3248	8365	5418	4757	6042	5049	4638	4094
g2126	854	894	985	1143	860	1982	1104	2065	1447	1166	727	692
g2127	11	0	0	65	11	140	29	8	22	29	10	48
g2128	45	13	15	21	9	29	18	25	39	20	25	18
g2129	3	4	27	9	15	27	5	7	14	20	14	5
g2130	28	0	0	18	18	4	0	12	0	0	1	2
g2131	4	4	6	6	35	8	9	6	8	4	41	10
g2132	41	50	83	73	42	73	56	62	49	51	76	50
g2133	1498	1407	1427	1070	1315	1798	994	2106	1075	1436	1251	689
g2134	0	11	22	6	13	6	6	0	0	8	2	1
g2135	154	117	134	317	25	551	33	124	73	154	535	118
g2136	20	12	27	12	7	29	9	2	4	14	13	8
g2137	1323	3577	2423	2552	2680	3344	4192	2124	2631	1416	4755	1895
g2138	419	909	682	743	861	649	600	800	846	914	1112	489
g2139	1456	1188	846	1914	1496	1363	805	757	974	556	1032	295
g2140	103	115	189	845	780	151	299	640	447	71	66	208
g2141	7	9	6	0	43	23	15	6	22	0	2	0
g2142	0	5	23	20	8	8	17	16	2	12	60	7
g2143	377	420	734	491	436	593	472	629	784	547	749	371
g2144	21	9	8	13	20	5	19	16	22	15	7	17
g2145	0	0	0	1	2	0	5	3	5	3	13	3
g2146	16	9	6	22	26	25	28	10	7	46	14	8
g2147	250	362	281	364	234	418	218	214	159	355	285	269
g2148	49	43	91	72	25	34	62	8	85	29	31	37
g2149	87	157	238	220	364	429	524	262	260	676	172	189
g2150	46	73	59	47	73	47	123	119	9	85	52	35
g2151	66	63	46	93	205	95	35	70	76	37	64	36
g2152	65	106	49	53	33	135	80	53	47	80	86	43
g2153	39	24	68	24	44	57	50	52	45	69	47	46
g2154	124	500	343	367	125	447	277	240	267	550	170	181
g2155	90	38	51	78	25	63	120	92	88	51	45	39
g2156	172	540	524	453	248	628	179	521	364	355	731	180
g2157	91	59	69	149	104	168	83	70	82	89	117	61
g2158	3380	3593	2442	3751	4302	3123	3626	2958	2459	3429	3247	2196
g2159	323	903	583	392	574	668	327	310	371	856	310	288
g2160	82	42	79	42	59	76	48	44	75	56	35	37
g2161	11	37	46	38	49	73	16	34	7	86	41	17
g2162	11	28	5	21	53	5	24	11	19	32	23	11
g2163	0	13	6	0	16	16	2	13	5	2	15	15
g2164	3744	3738	2933	3245	2717	4540	3518	2553	3008	3588	2621	3470
g2165	40	58	42	31	27	21	29	44	67	32	67	9
g2166	1268	1135	1641	1593	1718	2336	1418	1164	1517	1374	1163	993
g2167	24	14	0	0	27	3	0	0	7	20	5	0
g2168	332	176	191	339	591	153	286	304	498	1031	278	270
g2169	624	0	7	0	9361	20	2	87	3964	0	2740	0
g2170	0	0	3	22	8	1	3	7	6	0	21	3
g2171	47	62	26	62	43	49	52	46	32	60	47	23
g2172	6	0	6	0	8	0	0	4	0	2	6	2
g2173	21	12	0	0	23	51	12	1	69	22	7	8
g2174	99	1860	0	0	273	23	1064	714	251	928	794	3
g2175	2	9	40	1	6	9	11	13	28	7	15	26
g2176	46	51	55	106	80	41	81	78	66	30	63	35
g2177	102	101	91	84	62	132	88	113	108	91	108	28
g2178	60	15	6	118	158	65	15	25	23	56	88	18
g2179	134	47	59	39	134	137	131	34	113	118	86	18
g2180	127	75	224	107	148	101	181	220	35	71	100	78
g2181	275	44	188	563	82	217	325	226	43	346	202	13
g2182	32	26	62	35	12	60	18	17	55	8	120	19
g2183	512	32	211	56	371	1126	197	264	97	294	670	300
g2184	1	119	16	9	173	60	62	0	0	45	2	161
g2185	772	712	727	557	441	673	536	82	45	167	77	180
g2186	70	62	38	67	86	87	109	59	122	99	127	59
g2187	2085	2013	2011	3829	2475	2564	2937	2513	2273	5205	2602	1554
g2188	26	31	34	38	28	32	13	17	14	20	23	26
g2189	2	0	6	3	5	6	2	0	1	2	4	1
g2190	1181	834	597	936	901	894	875	600	1280	876	1655	784
g2191	96	68	86	114	89	123	84	115	82	91	115	48
g2192	45	31	95	167	30	59	56	106	51	89	88	36
g2193	21	23	109	62	58	35	77	80	29	34	76	7
g2194	65	960	518	944	284	556	82	788	67	104	398	32
