	sample1	sample2	sample3	sample4	sample5	sample6
g1767	5043	5863	5208	2556	6785	4109
g1768	303	454	393	275	328	228
g1769	1	1	2	3	2	0
g1770	177	39	269	884	802	487
g1771	683	968	977	660	1120	543
g1772	2583	3877	3674	2565	2015	1920
g1773	43	87	50	21	41	13
g1774	40	20	39	79	47	18
g1775	0	4	7	6	5	0
g1776	499	90	342	11	81	259
g1777	29	38	11	49	24	22
g1778	1267	1472	1556	877	1495	809
g1779	62	18	75	23	80	14
g1780	1994	957	1515	1227	1497	794
g1781	624	1032	449	693	824	366
g1782	3235	6692	6557	3723	4658	2351
g1783	1440	1851	1937	1467	1361	1362
g1784	59	27	26	13	2	11
g1785	35	79	63	40	34	58
g1786	45	30	48	25	13	16
g1787	50	52	75	53	95	49
g1788	271	445	286	256	411	150
g1789	2333	2320	923	205	1408	1031
g1790	1015	1503	1064	963	719	673
g1791	902	1181	667	437	572	370
g1792	118	270	304	62	297	28
g1793	6	6	0	2	9	1
g1794	58	59	182	361	112	34
g1795	1233	886	1394	782	845	583
g1796	857	995	300	833	867	401
g1797	7	9	9	5	5	7
g1798	30	30	31	29	30	24
g1799	420	918	755	917	803	319
g1800	310	227	565	170	225	82
g1801	772	866	959	400	1228	599
g1802	111	57	32	68	57	18
g1803	495	656	438	286	450	213
g1804	574	1329	216	494	1270	280
g1805	118	87	48	67	31	33
g1806	389	400	344	181	210	146
g1807	562	621	701	733	395	205
g1808	6	14	39	0	38	7
g1809	537	341	935	345	1164	30
g1810	244	172	182	135	142	89
g1811	0	17	21	67	2	24
g1812	3	3	5	4	1	6
g1813	480	1171	420	489	959	373
g1814	71	113	27	103	35	55
g1815	12	15	18	9	23	13
g1816	116	185	121	152	225	55
g1817	1	20	12	2	1	5
g1818	2	5	8	7	7	2
g1819	356	300	362	155	223	106
g1820	1103	1402	2052	692	1359	1251
g1821	447	689	1006	1015	686	252
g1822	11	51	6	55	43	13
g1823	21	143	21	123	68	120
g1824	593	477	654	1160	946	481
g1825	1	2	1	6	7	0
g1826	18	12	10	16	25	8
g1827	545	8	89	99	259	164
g1828	381	941	710	455	861	679
g1829	39	69	40	60	61	36
g1830	1385	2683	2026	1002	2930	1269
g1831	4	9	3	4	7	5
g1832	105	232	204	121	113	35
g1833	72	47	71	33	97	54
g1834	15	9	7	6	15	10
g1835	19	350	43	53	293	34
g1836	0	6	4	6	9	1
g1837	22	8	4	3	6	7
g1838	87	155	157	65	12	124
g1839	563	1416	406	201	1890	222
g1840	771	1234	418	1569	1743	948
g1841	530	807	300	389	533	433
g1842	157	78	212	35	206	91
g1843	747	861	1042	508	834	361
g1844	2	43	0	0	6	7
g1845	14	15	4	14	10	5
g1846	1	3	6	0	8	5
g1847	32	93	2	82	23	37
g1848	397	487	367	173	478	158
g1849	1249	331	469	1105	626	735
g1850	445	720	238	142	392	207
g1851	555	562	877	182	844	662
g1852	55	69	91	19	54	27
g1853	422	606	685	517	323	172
g1854	1996	2468	1902	870	2524	1152
g1855	8	2	8	6	14	11
g1856	106	200	156	128	170	87
g1857	1194	2658	1700	1076	1851	1397
g1858	1126	1138	1292	1043	1445	1040
g1859	79	130	71	46	111	84
g1860	2	15	5	8	1	0
g1861	6	18	4	3	25	9
g1862	8	8	4	6	8	0
g1863	142	197	121	168	152	65
g1864	846	1699	1531	1111	1380	868
g1865	1900	8061	4954	5260	2969	4207
g1866	144	133	152	135	193	144
g1867	215	197	351	167	267	193
g1868	667	952	444	328	1059	272
g1869	44	136	82	101	48	84
g1870	4	8	2	3	4	4
g1871	648	2059	685	1496	954	459
g1872	184	655	669	185	302	508
g1873	25299	21916	23752	14486	26329	12613
g1874	256	91	496	43	48	266
g1875	5	9	3	4	6	5
g1876	8	139	65	33	109	83
g1877	566	794	498	365	575	481
g1878	1724	3343	1630	1799	2239	1553
g1879	3	24	14	9	12	8
g1880	12	17	22	3	29	7
g1881	51	68	43	35	63	28
g1882	60	36	40	5	64	34
g1883	142	60	45	198	88	68
g1884	161	82	68	98	113	52
g1885	5	9	20	6	10	15
g1886	90	67	80	106	213	65
g1887	344	477	299	355	266	219
g1888	53	114	55	43	116	63
g1889	247	683	170	484	685	377
g1890	1422	2258	1002	789	2459	1439
g1891	899	1231	972	769	1045	564
g1892	21	21	23	26	34	13
g1893	26	2	36	18	76	15
g1894	17	9	8	9	2	3
g1895	28	47	25	15	59	21
g1896	13	20	18	6	20	8
g1897	20	5	4	34	1	11
g1898	192	187	358	321	19	150
g1899	3	12	6	0	28	0
g1900	917	1735	2948	737	2518	1181
g1901	5	5	12	4	8	2
g1902	1	1	10	10	0	12
g1903	27	29	63	54	53	4
g1904	24	181	12	31	75	21
g1905	904	418	1077	148	1856	143
g1906	1110	1442	393	755	876	211
g1907	1	4	10	4	0	2
g1908	2	6	6	0	2	0
g1909	13	13	12	15	8	7
g1910	506	807	1390	492	855	486
g1911	0	10	0	0	16	5
g1912	23	39	28	23	41	15
g1913	60	101	24	69	147	76
g1914	809	839	598	786	573	486
g1915	1365	1520	2246	2341	2648	1306
g1916	143	32	53	165	7	47
g1917	1676	0	195	172	63	34
g1918	1373	1129	1076	1071	1468	569
g1919	4	10	3	11	12	8
g1920	18	0	17	14	17	3
g1921	1285	2114	2250	865	2126	588
g1922	48	71	13	17	137	10
g1923	4	6	8	6	3	5
g1924	669	1170	502	765	193	172
g1925	91	131	131	41	82	38
g1926	724	484	775	680	956	425
g1927	706	1195	1055	430	782	592
g1928	117	292	318	209	344	118
g1929	3	6	4	2	2	9
g1930	241	1180	418	721	1155	228
g1931	270	511	506	224	430	280
g1932	62	5	86	63	30	32
g1933	566	3646	1786	971	1785	934
g1934	8	26	6	5	7	2
g1935	88	120	130	114	104	66
g1936	348	597	117	360	246	154
g1937	4	9	11	3	12	3
g1938	335	383	411	319	533	270
g1939	113	57	203	168	90	183
g1940	2	9	4	0	9	4
g1941	29	41	78	55	40	45
g1942	7	6	1	5	5	4
g1943	131	181	38	124	176	136
g1944	33	23	17	29	10	27
g1945	421	242	116	206	653	222
g1946	231	376	284	360	591	199
g1947	1	7	7	17	23	16
g1948	82	42	23	4	110	25
g1949	229	506	244	157	303	84
g1950	5	15	16	21	12	6
g1951	2	3	4	3	0	4
g1952	34	34	33	8	60	53
g1953	117	171	102	67	94	97
g1954	15	48	47	48	41	16
g1955	452	903	933	324	974	592
g1956	191	174	109	78	381	57
g1957	6969	6142	5139	3953	4218	4014
g1958	2	6	0	1	0	3
g1959	11	35	38	17	57	11
g1960	324	840	382	180	213	140
g1961	2	98	114	28	0	35
g1962	1599	744	3468	756	1366	787
g1963	184	272	183	119	231	167
g1964	1429	1185	2942	744	2857	921
g1965	6	23	1	3	7	0
g1966	6136	6685	5609	5322	5494	3602
g1967	13	0	60	3	63	16
g1968	10	22	50	4	7	17
g1969	690	784	722	727	1111	262
g1970	58	53	95	73	60	15
g1971	19	30	8	1	33	11
g1972	243	485	287	194	265	424
g1973	2164	1990	1566	1967	1159	1361
g1974	114	14	72	4	9	49
g1975	17	27	31	20	21	13
g1976	6	5	3	1	4	0
g1977	2418	3560	3627	2068	3209	1566
g1978	0	0	2	0	2	1
g1979	50	212	306	94	358	107
g1980	13	2	0	23	9	0
g1981	6	11	13	5	13	5
g1982	0	7	13	10	3	4
g1983	22	2	2	3	4	5
g1984	1580	2918	3156	1990	3397	1920
g1985	303	418	304	358	366	223
g1986	71	7	15	1	17	8
g1987	256	235	220	163	339	194
g1988	8	1	2	1	0	5
g1989	793	848	808	259	496	380
g1990	72	25	12	27	15	23
g1991	147	74	130	101	69	83
g1992	1826	3079	1695	1338	1694	1101
g1993	542	2275	835	716	1239	731
g1994	390	464	356	296	497	183
g1995	269	256	524	606	255	231
g1996	2833	4084	7206	2552	5140	2075
g1997	213	243	208	157	237	145
g1998	80	175	171	70	97	56
g1999	370	364	243	424	498	175
g2000	558	881	496	539	922	289
g2001	17351	33126	29453	19880	19461	18188
g2002	15993	15685	14865	10259	14043	7678
g2003	75	281	188	53	137	65
g2004	1152	1277	458	817	634	449
g2005	0	4	0	1	2	0
g2006	2505	3250	2849	2605	2856	1160
g2007	600	1380	1298	154	1059	350
g2008	971	1014	998	892	1149	604
g2009	572	785	754	435	367	333
g2010	195	379	284	131	313	292
g2011	1459	1753	1977	573	1204	650
g2012	8	33	25	25	37	23
g2013	106	248	111	157	66	141
g2014	45	39	817	36	402	38
g2015	1081	1119	1251	766	1542	1393
g2016	67	134	90	79	79	2
g2017	100	41	333	176	219	49
g2018	55	43	29	20	67	24
g2019	47	0	34	22	10	29
g2020	8013	11535	3964	6776	7747	5564
g2021	2	0	6	1	16	0
g2022	5	7	8	7	5	2
g2023	87	169	151	102	131	105
g2024	619	1076	768	653	1072	395
g2025	1358	3530	5058	2041	3158	1430
g2026	470	914	950	597	549	485
g2027	215	569	211	216	373	195
g2028	1682	2735	1782	2885	1541	1327
g2029	11	8	4	24	18	3
g2030	2022	5021	2887	4428	5972	2079
g2031	355	113	285	186	523	159
g2032	89	82	101	43	7	37
g2033	69	436	71	78	185	75
g2034	97	186	52	102	324	207
g2035	35	42	104	34	51	33
g2036	1668	1890	1575	1280	1985	757
g2037	144	164	173	80	152	138
g2038	2	2	4	3	2	0
g2039	1219	1300	1589	1149	1389	1235
g2040	0	0	0	4	0	0
g2041	5	5	4	4	2	2
g2042	661	1390	1732	618	422	241
g2043	302	334	307	132	525	212
g2044	434	1024	594	282	683	343
g2045	7	12	0	0	12	8
g2046	1866	3966	3999	1376	1933	2415
g2047	12	48	10	4	26	9
g2048	2644	4182	3857	1312	3744	1731
g2049	299	454	280	212	264	212
g2050	376	556	568	415	494	266
g2051	0	0	0	1	7	0
g2052	9	14	9	7	5	1
g2053	53	133	134	70	103	41
g2054	2	4	2	5	3	2
g2055	63	364	0	158	116	11
g2056	681	396	437	673	474	361
g2057	831	772	941	803	1104	293
g2058	488	741	630	475	528	314
g2059	781	1005	718	436	639	629
g2060	1654	535	1263	1762	1353	972
g2061	1977	1452	1982	1314	1898	835
g2062	43	69	103	37	67	25
g2063	6	10	8	3	3	3
g2064	0	1	6	8	0	1
g2065	34	44	55	19	35	18
g2066	222	282	134	327	247	118
g2067	20	40	17	48	43	29
g2068	1273	2210	1992	909	1799	970
g2069	5	22	11	15	17	11
g2070	0	0	0	0	7	2
g2071	638	651	510	492	485	354
g2072	13	6	6	17	13	6
g2073	369	488	376	555	737	201
g2074	255	698	1591	575	778	577
g2075	195	441	462	444	370	454
g2076	2844	4398	1875	1817	3749	995
g2077	0	3	0	0	0	0
g2078	140	327	346	290	196	190
g2079	35	3	15	2	50	8
g2080	1	8	2	10	3	3
g2081	2	3	3	14	10	3
g2082	153	263	183	20	62	56
g2083	12	9	30	0	14	7
g2084	2600	2170	1793	1305	2425	1445
g2085	699	721	633	776	693	481
g2086	11	17	22	10	21	12
g2087	1129	1626	1546	1266	1905	1010
g2088	180	306	238	225	734	334
g2089	0	10	0	32	5	1
g2090	684	1495	102	354	1253	454
g2091	3109	1700	1418	1645	3088	1196
g2092	77	48	58	113	5	6
g2093	170	380	271	216	351	209
g2094	13	15	6	11	4	2
g2095	464	658	797	255	518	363
g2096	57	14	94	9	9	9
g2097	52	1	17	14	19	5
g2098	2263	2410	4687	1171	1702	830
g2099	578	350	654	386	802	359
g2100	447	106	35	320	67	29
g2101	41	97	62	42	61	41
g2102	22	21	23	5	30	17
g2103	587	1707	2441	1154	1022	445
g2104	16	2	4	11	6	5
g2105	81	85	40	8	23	40
g2106	790	851	568	477	584	226
g2107	1059	1196	438	460	644	444
g2108	1657	1790	1517	695	1564	703
g2109	9	16	12	1	1	1
g2110	980	1214	556	1083	495	1442
g2111	11	25	3	0	23	0
g2112	0	6	0	1	6	1
g2113	5	3	1	1	4	6
g2114	15	8	3	51	3	16
g2115	197	425	348	127	138	193
g2116	144	211	162	159	365	109
g2117	3	7	2	3	3	6
g2118	246	268	49	267	258	118
g2119	71	591	91	205	1075	247
g2120	1164	2116	1267	1507	1154	786
g2121	297	135	359	71	333	127
g2122	184	179	211	148	181	105
g2123	2561	3523	3962	1929	3669	1815
g2124	207	446	411	184	216	221
g2125	32	9	19	1	4	11
g2126	862	1365	442	799	837	480
g2127	1	0	2	2	0	2
g2128	71	62	62	63	101	23
g2129	450	699	604	486	1755	559
g2130	793	889	573	788	515	122
g2131	3536	4161	2831	1915	2305	2056
g2132	155	109	143	66	36	44
g2133	4377	5603	4469	3168	3614	2583
g2134	60	39	16	47	54	25
g2135	778	1369	1053	1485	2411	607
g2136	8640	14145	8162	9417	7730	5515
g2137	43	27	67	84	72	25
g2138	3003	4930	2518	1572	4751	2027
g2139	14	6	5	3	0	1
g2140	16	21	47	24	27	16
g2141	256	755	461	318	815	186
g2142	2363	2701	2955	2204	2692	1711
g2143	712	1531	586	866	1648	685
g2144	76	1	41	21	43	40
g2145	0	1	0	15	1	3
g2146	164	109	194	88	236	54
g2147	76	464	583	186	178	14
g2148	17	6	10	1	1	0
g2149	12	0	3	5	1	0
g2150	26	41	42	18	54	29
g2151	80	82	102	101	56	43
g2152	5061	2945	3718	1907	4366	2435
g2153	6027	3129	2129	789	2592	651
g2154	17	19	15	10	19	5
g2155	69	170	126	52	67	31
g2156	305	371	463	334	484	153
g2157	47	52	43	27	25	17
g2158	61	57	41	7	9	15
g2159	706	2168	1490	1417	1590	1004
g2160	49	56	61	22	70	22
g2161	1549	2266	2206	1403	1634	811
g2162	33	82	67	29	115	29
g2163	2	0	4	1	1	1
g2164	2451	4120	2697	1466	3882	2520
g2165	3	27	3	5	11	3
g2166	290	714	264	607	253	213
g2167	0	2	1	1	5	2
g2168	903	1283	1109	964	1287	1334
g2169	8	7	84	6	46	6
g2170	9	15	3	4	11	8
g2171	6	6	9	7	9	5
g2172	439	592	529	459	457	405
g2173	1	7	3	2	9	10
g2174	30	146	65	50	114	60
g2175	1261	1212	899	993	491	544
g2176	7	19	13	7	4	6
g2177	406	554	628	526	593	416
g2178	73	78	45	33	72	36
g2179	8	17	20	11	15	5
g2180	73	43	34	619	105	47
g2181	14	2	11	0	8	0
g2182	237	582	514	221	366	207
g2183	3057	2095	2365	812	4849	1263
g2184	16	16	9	5	4	7
g2185	252	230	503	202	168	249
g2186	1080	1376	1134	933	1276	663
g2187	54	76	43	56	47	65
g2188	848	1338	1507	1044	2308	931
g2189	6	13	2	4	11	16
g2190	10	18	2	8	10	2
g2191	119	107	89	48	120	82
g2192	296	335	282	206	297	243
g2193	345	218	166	99	188	175
g2194	219	21	37	77	141	142
g2195	982	1790	1344	451	937	720
g2196	308	422	384	344	236	186
g2197	894	2673	1444	723	2199	1244
g2198	706	1443	1133	605	303	135
g2199	3397	9783	5174	3509	9560	3922
g2200	2009	2885	4229	2350	2207	2093
g2201	257	533	398	192	780	445
g2202	19	52	42	35	23	40
g2203	15	23	14	8	30	7
g2204	1	7	4	1	4	1
g2205	425	660	616	418	831	318
g2206	833	398	207	307	74	422
g2207	51	254	56	31	72	68
g2208	69	121	95	55	115	45
g2209	1401	3028	2040	1254	2946	1268
g2210	1	3	135	12	39	0
g2211	6	2	13	7	0	5
g2212	372	665	311	245	415	156
g2213	186	369	138	211	196	82
g2214	1407	1572	1424	715	669	97
g2215	1267	9988	5771	6224	9540	1268
g2216	1866	2771	2079	1475	3725	985
g2217	353	231	552	931	320	2807
g2218	13	27	30	8	9	13
g2219	592	647	649	312	1121	916
g2220	3	3	2	7	4	2
g2221	1	0	16	0	4	1
g2222	2652	3616	5122	2214	3248	2071
g2223	11151	13356	8546	8781	12506	9076
g2224	53	148	210	87	132	45
g2225	4	1	4	2	5	1
g2226	173	205	157	54	100	68
g2227	2739	3374	2937	2549	2579	1742
g2228	2367	1810	2299	1316	1935	1177
g2229	1587	3969	2806	1499	2776	2240
g2230	659	895	551	503	671	246
g2231	233	249	473	72	398	113
g2232	365	392	144	142	320	218
g2233	407	743	383	287	480	251
g2234	5420	5065	5762	3767	4818	4456
g2235	103	132	142	75	95	24
g2236	569	632	634	293	603	372
g2237	765	859	707	682	762	453
g2238	839	1726	556	907	470	267
g2239	50	73	44	50	65	39
g2240	39	50	85	40	51	22
g2241	40	59	32	23	150	95
g2242	10	19	9	6	1	4
g2243	11	9	4	1	4	7
g2244	260	30	13	429	174	519
g2245	32	98	64	62	16	46
g2246	2655	4501	2881	2668	2321	3278
g2247	9	9	13	12	17	5
g2248	138	201	167	146	157	81
g2249	55	55	49	46	81	50
g2250	100	62	124	27	43	120
g2251	313	494	1828	176	1192	285
g2252	13	11	14	2	6	5
g2253	62	73	35	4	32	4
g2254	95	64	46	104	102	115
g2255	2097	6505	4929	3032	3298	1309
g2256	42	60	52	29	147	26
g2257	6	11	4	3	7	2
g2258	28	103	18	12	40	45
g2259	266	231	195	161	188	120
g2260	101	209	107	91	92	45
g2261	37	74	52	117	48	37
g2262	1	6	0	2	8	2
g2263	8306	6660	11876	2897	4495	4077
g2264	3780	9020	2576	3366	2825	1831
g2265	1389	745	3421	614	2507	771
g2266	272	72	294	300	28	103
g2267	0	0	0	0	0	354
g2268	6	5	13	11	13	5
g2269	536	337	333	219	234	166
g2270	3512	3384	4064	2789	3360	2305
g2271	7	32	17	6	264	0
g2272	184	378	258	196	284	235
g2273	38	19	126	0	63	62
g2274	2	59	0	2	7	21
g2275	207	1397	581	218	1282	289
g2276	37	46	30	1	27	18
g2277	80	181	122	138	185	54
g2278	0	21	22	23	23	3
g2279	65	104	206	96	132	64
g2280	5	5	2	9	0	4
g2281	5	51	0	49	59	14
g2282	57	47	41	24	49	23
g2283	4281	4100	3798	3463	3748	2366
g2284	3	15	16	40	32	27
g2285	123	290	205	127	208	157
g2286	202	89	458	105	292	184
g2287	558	693	511	525	823	547
g2288	388	742	401	311	482	209
g2289	2	5	2	6	4	1
g2290	6031	6655	3232	3604	5884	6019
g2291	19	0	4	6	13	7
g2292	787	1170	490	694	1063	595
g2293	95	139	120	30	120	51
g2294	1241	1891	1859	1743	1701	956
g2295	28	2	27	47	83	12
g2296	9	10	28	34	34	16
g2297	0	0	0	35	0	0
g2298	14	32	3	9	24	5
g2299	22	72	25	28	26	21
g2300	717	1186	292	476	779	354
g2301	84	359	131	234	109	116
g2302	117	201	2	325	139	43
g2303	5014	11729	4858	4096	7235	3936
g2304	58	36	18	3	11	89
g2305	863	1057	1374	903	901	475
g2306	253	85	130	185	164	90
g2307	3313	2261	977	403	2506	3053
g2308	2354	2867	1781	2412	3288	1969
g2309	6	6	2	0	0	0
g2310	486	852	889	587	983	300
g2311	256	275	176	142	312	116
g2312	18	187	167	49	206	157
g2313	172	186	83	25	40	47
g2314	11	2	9	0	1	0
g2315	2415	2822	2747	1240	2965	1466
g2316	1222	1265	860	865	1579	553
g2317	234	150	180	113	219	91
g2318	15	12	6	2	8	5
g2319	262	191	319	333	229	202
g2320	1278	1842	2321	1509	1753	1116
g2321	332	1180	1056	601	771	265
g2322	460	777	553	408	760	265
g2323	3229	3070	3271	2336	5298	2712
g2324	5349	11596	5470	6403	7309	3540
g2325	6	0	6	2	0	3
g2326	9422	4567	7258	5835	8068	4273
g2327	56	132	25	54	59	36
g2328	813	662	255	286	499	527
g2329	71	58	95	48	126	44
g2330	14	3	5	9	8	4
g2331	1991	257	773	191	2108	1298
g2332	1129	1298	479	1122	1196	601
g2333	465	741	419	472	850	413
g2334	1	0	5	2	2	2
g2335	1106	1329	999	833	1195	476
g2336	12	22	34	13	26	23
g2337	362	726	313	569	243	275
g2338	1652	1560	2216	1312	1836	914
g2339	29	50	4	5	0	0
g2340	8	2	4	4	5	2
g2341	8	10	2	16	11	2
g2342	477	792	410	258	727	191
g2343	2	4	3	3	4	3
g2344	9	20	9	15	10	4
g2345	2	3	2	2	7	2
g2346	307	2149	728	1026	161	215
g2347	0	4	12	3	19	2
g2348	60	63	87	60	86	86
g2349	21	16	10	3	17	4
g2350	240	245	322	167	156	131
g2351	2	8	0	0	0	0
g2352	79	84	150	104	98	28
g2353	15	34	27	14	22	37
g2354	62	96	75	58	66	51
g2355	76	147	99	119	35	211
g2356	23	32	43	15	29	15
g2357	1	0	0	2	1	0
g2358	19	23	1	42	6	21
g2359	1455	1411	1673	1331	2296	1299
g2360	698	629	451	400	594	474
g2361	2064	5440	3883	3014	2977	1894
g2362	729	774	672	458	835	687
g2363	21	62	178	59	94	65
g2364	4964	7241	7496	5995	6841	4375
g2365	340	191	552	402	270	268
g2366	120	351	301	117	450	40
g2367	247	164	257	57	142	109
g2368	212	193	79	49	442	28
g2369	42	103	39	23	19	51
g2370	110	142	80	74	84	29
g2371	18	54	74	2	38	43
g2372	42	5	80	242	100	137
g2373	32	34	25	25	93	21
g2374	410	132	181	246	249	150
g2375	9	13	14	2	5	1
g2376	164	227	167	114	203	195
g2377	822	735	1818	1427	1181	895
g2378	1210	1685	1885	1396	1485	1287
g2379	75	293	228	248	291	142
g2380	25	27	8	7	26	28
g2381	1773	1736	1044	1660	1801	1359
g2382	967	1239	1248	426	231	1346
g2383	43	29	51	59	39	41
g2384	12	4	2	0	4	2
g2385	75	251	177	26	109	175
g2386	109	81	108	51	122	87
g2387	4955	7695	11913	5119	4292	5685
g2388	244	196	189	160	248	110
g2389	1167	1606	1647	1265	1883	657
g2390	7	11	12	8	20	5
g2391	213	252	212	294	111	180
g2392	325	318	243	228	362	152
g2393	56	88	88	72	82	55
g2394	9	1	0	0	28	0
g2395	1260	878	1192	343	608	427
g2396	72	126	31	168	11	1
g2397	33	112	65	40	13	27
g2398	15	152	73	7	0	0
g2399	827	775	937	584	576	437
g2400	85	62	79	54	99	52
g2401	4	9	11	2	12	1
g2402	1	8	2	1	0	0
g2403	33	20	13	11	38	0
g2404	479	1013	1294	680	1125	504
g2405	407	1375	535	216	270	1399
g2406	121	106	151	95	153	64
g2407	467	747	750	487	725	355
g2408	231	351	134	237	187	190
g2409	244	32	36	195	240	95
g2410	272	412	239	110	358	211
g2411	3	7	6	0	2	1
g2412	14	32	11	2	6	6
g2413	258	70	71	38	262	131
g2414	480	555	556	297	358	204
g2415	806	954	1631	697	1110	490
g2416	2373	3021	2921	1940	2327	820
g2417	612	806	360	359	1310	845
g2418	6080	13732	12388	8269	12985	7448
g2419	259	241	192	116	267	86
g2420	938	2108	2642	1213	2435	923
g2421	309	397	353	181	519	150
g2422	2996	5631	2974	3099	3557	1339
g2423	100	258	151	31	116	9
g2424	0	3	5	2	3	1
g2425	185	191	205	291	844	142
g2426	400	507	358	94	458	150
g2427	17	9	14	4	16	9
g2428	151	80	80	43	66	51
g2429	575	999	644	510	541	436
g2430	762	1312	1215	649	853	869
g2431	25	34	32	14	9	7
g2432	4691	5282	5317	3673	6360	3324
g2433	616	1633	785	303	977	777
g2434	2	8	3	2	3	1
g2435	29	70	120	12	83	3
g2436	2188	3419	1442	1339	2551	1244
g2437	259	176	236	134	695	92
g2438	5	20	13	4	8	9
g2439	588	384	331	283	1051	250
g2440	0	21	2	8	3	0
g2441	108	171	160	100	99	74
g2442	433	536	168	128	312	593
g2443	323	352	370	341	394	203
g2444	94	137	239	174	300	63
g2445	136	169	122	108	132	60
g2446	22	119	40	29	36	18
g2447	1014	1508	958	621	1260	362
g2448	184	194	223	173	271	79
g2449	139	193	116	76	158	80
g2450	2627	2096	1525	1774	5303	1394
g2451	7	10	10	5	16	1
g2452	2287	2251	1957	1763	2316	1414
g2453	302	106	198	551	849	124
g2454	6	16	3	3	10	9
g2455	1	7	4	5	4	5
g2456	303	419	398	329	430	189
g2457	79	507	172	270	279	71
g2458	133	158	4	19	119	106
g2459	268	646	208	158	354	269
g2460	478	963	593	383	648	515
g2461	97	61	114	25	37	88
g2462	198	233	146	154	82	82
g2463	1825	1435	2103	1519	1406	978
g2464	3899	5387	3870	3287	4102	2639
g2465	2	8	1	2	1	1
g2466	326	325	290	232	400	236
g2467	349	544	799	520	585	361
g2468	6	0	1	10	0	3
g2469	4	9	9	3	11	0
g2470	23	47	47	34	24	17
g2471	7	9	8	4	10	3
g2472	104	179	101	112	134	54
g2473	62	95	47	13	36	22
g2474	68	99	136	74	70	60
g2475	283	542	298	173	341	205
g2476	61	63	121	113	57	57
g2477	229	250	231	70	177	75
g2478	54	15	44	127	54	88
g2479	336	453	211	326	277	229
g2480	136	145	125	157	64	374
g2481	92	15	128	77	154	83
g2482	23	13	12	13	12	10
g2483	4091	2047	2356	2590	2683	2331
g2484	166	713	413	134	152	95
g2485	25	29	32	31	51	27
g2486	8	5	0	3	0	2
g2487	0	21	0	7	34	4
g2488	761	1170	682	721	655	549
g2489	28	52	30	16	45	18
g2490	294	550	331	436	391	344
g2491	614	859	1328	772	777	328
g2492	335	596	370	497	654	341
g2493	1397	1928	1358	893	908	730
g2494	3	0	2	6	17	0
g2495	3197	3567	3743	1894	4279	1870
g2496	195	643	298	229	265	170
g2497	552	904	947	770	966	552
g2498	16	15	16	20	25	9
g2499	167	450	553	589	146	346
g2500	5	3	10	3	3	1
g2501	0	22	31	8	5	5
g2502	338	92	239	631	369	255
g2503	54	48	126	144	126	304
g2504	165	161	330	89	599	37
g2505	6061	7216	4027	3633	5240	3319
g2506	392	719	646	496	640	417
g2507	111	4	224	173	26	119
g2508	9500	13928	12912	9062	11690	7578
g2509	29	48	17	12	13	6
g2510	96	186	82	78	132	47
g2511	198	62	183	22	410	167
g2512	597	1221	402	304	899	102
g2513	608	1338	863	704	773	324
g2514	2	1	6	2	13	20
g2515	1890	2471	2521	1247	3599	672
g2516	7	73	18	23	26	3
g2517	201	356	195	222	256	130
g2518	15	16	10	5	3	7
g2519	40	71	72	27	4	27
g2520	1003	1311	1069	913	1315	364
g2521	1508	2619	1907	857	1964	1195
g2522	2987	3608	3838	2321	3553	2193
g2523	1862	3881	1299	2048	1839	1474
g2524	1902	3242	2523	1249	2087	1490
g2525	302	54	290	126	252	189
g2526	37	23	61	45	31	13
g2527	11858	18439	13257	9683	17082	8159
g2528	1403	1600	714	1505	367	1037
g2529	4	3	5	4	6	1
g2530	1063	1405	1075	839	1254	574
g2531	292	427	143	443	104	90
g2532	244	386	343	94	224	183
g2533	8	32	15	10	47	13
g2534	3424	5331	4770	3156	4785	2738
g2535	130	187	232	99	183	123
g2536	1818	2687	2872	1588	2051	1311
g2537	107	210	191	101	103	54
g2538	538	885	1183	861	625	754
g2539	0	33	24	0	2	3
g2540	11	0	0	0	8	2
g2541	1130	1226	1205	962	1188	470
g2542	0	18	4	2	4	0
g2543	164	153	176	79	265	70
g2544	176	340	402	196	380	187
g2545	4911	3773	3922	3621	4139	2324
g2546	207	253	412	135	352	228
g2547	12	13	20	15	15	13
g2548	1775	1109	3274	1835	4424	1387
g2549	107	100	123	65	147	55
g2550	2148	3404	6112	4831	7805	5905
g2551	5146	5233	6653	3904	3947	2076
g2552	429	351	863	484	743	291
g2553	3782	4580	2848	3088	5368	971
g2554	24	62	51	40	55	41
g2555	868	699	1228	694	579	354
g2556	2563	3592	2668	1569	3383	1997
g2557	41	52	26	19	17	27
g2558	9	18	4	8	2	0
g2559	500	628	285	134	427	88
g2560	2928	4191	3320	2599	4364	1845
g2561	226	405	199	178	326	181
g2562	998	1501	1329	606	1010	517
g2563	48	19	19	16	118	36
g2564	1472	1441	785	774	1154	259
g2565	740	774	786	312	663	284
g2566	595	5	20	147	211	295
g2567	1389	1636	1616	1210	1192	733
g2568	229	190	433	153	180	146
g2569	12	0	4	0	0	0
g2570	290	396	261	125	207	260
g2571	72	112	99	98	77	148
g2572	38	329	336	12	159	140
g2573	32	39	39	27	36	19
g2574	33	12	71	41	21	27
g2575	383	194	580	353	189	112
g2576	2	0	0	3	18	4
g2577	64	100	36	110	122	23
g2578	28	48	49	20	42	17
g2579	1	8	17	3	0	7
g2580	3	1	1	1	10	2
g2581	727	1310	932	657	1052	616
