	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18
g1322	410	197	259	178	276	307	310	130	291	222	161	70	319	199	148	287	220	330
g1323	185	86	191	91	261	354	113	108	36	138	83	96	249	150	84	154	52	193
g1324	11	6	2	4	0	8	1	0	11	0	0	3	9	13	4	1	0	0
g1325	28	26	71	41	41	40	39	10	36	26	28	28	97	59	9	46	76	50
g1326	9	1	4	1	3	5	7	3	1	1	12	4	2	1	0	9	1	11
g1327	315	151	96	131	127	39	380	93	324	56	71	196	43	110	178	198	153	93
g1328	42	31	57	98	48	65	95	33	64	22	42	43	53	41	40	139	62	77
g1329	8	1	1	1	6	3	3	4	0	3	0	0	33	2	0	0	1	3
g1330	1268	840	331	515	352	360	1775	1179	802	401	698	697	1139	262	229	542	1420	480
g1331	1084	673	658	269	529	429	1808	1280	562	673	369	1448	124	551	534	468	635	1647
g1332	386	744	575	563	506	774	141	221	740	318	290	570	440	192	123	641	548	1145
g1333	1450	211	656	387	553	625	652	197	363	273	336	463	318	422	301	510	971	292
g1334	514	337	518	317	577	424	336	330	415	352	221	351	471	445	352	711	327	538
g1335	128	195	145	70	318	221	77	61	47	116	133	147	269	234	58	122	110	72
g1336	8710	3274	6425	6868	7181	3964	4582	3729	4469	2364	4747	5431	6009	5445	4207	3820	4436	6058
g1337	15	5	11	3	10	7	7	3	6	5	8	5	11	16	6	7	12	4
g1338	3928	1335	2013	2696	3845	1497	3112	1467	1593	2535	1752	2649	1684	1252	1196	2399	2338	1216
g1339	80	39	91	34	72	86	46	50	50	29	54	25	101	38	75	58	29	93
g1340	1500	1881	438	732	1210	713	3592	390	743	209	1997	302	3982	329	1895	516	1759	574
g1341	2487	1191	1655	5017	4018	3451	4456	2304	2492	1430	3989	3551	4331	2698	1665	3792	1843	6381
g1342	20	21	6	17	32	29	84	25	53	10	29	36	59	28	18	94	9	5
g1343	340	137	232	188	121	194	169	127	194	125	152	127	222	197	115	181	181	263
g1344	658	387	739	726	460	615	634	527	603	318	660	556	769	562	408	430	634	528
g1345	65	415	400	243	191	245	392	347	117	113	167	81	441	214	173	246	412	482
g1346	4	0	7	8	19	0	0	3	1	2	0	0	2	2	0	1	0	1
g1347	4202	2569	6079	4283	4312	3389	8121	2969	3955	2534	3721	5316	5775	4244	3811	3016	6314	6069
g1348	83	63	197	88	71	71	38	31	67	49	92	68	160	108	83	90	123	72
g1349	45	5	74	62	22	42	2	8	3	8	38	13	63	74	34	11	4	66
g1350	1281	474	723	810	960	1239	749	665	1031	400	577	904	1005	970	480	498	444	806
g1351	1477	424	141	1563	1683	1147	631	836	1628	267	535	522	827	490	608	1024	678	1386
g1352	1549	1182	1758	3796	1564	3384	3676	1797	1636	658	1549	1142	1861	1203	2522	688	1923	2340
g1353	78	82	45	93	66	103	109	47	54	65	88	129	142	74	98	73	102	9
g1354	1117	378	601	835	503	1484	715	609	836	536	591	348	549	382	834	394	1005	1474
g1355	5273	2499	4167	3526	4785	4170	4669	1894	1584	1046	5332	4809	6228	2264	3755	5246	7267	1592
g1356	9	10	2	4	7	4	2	7	1	5	5	1	9	9	10	4	8	11
g1357	9	3	2	0	6	16	2	0	16	4	8	7	1	1	0	2	9	2
g1358	5	15	10	6	13	11	18	5	23	5	11	27	41	18	18	29	19	41
g1359	38	58	60	80	53	54	74	49	48	45	55	63	50	32	29	80	44	54
g1360	758	386	367	641	524	343	409	288	500	279	369	438	365	401	290	411	447	256
g1361	6	1	2	157	1	0	14	1	0	0	1	0	0	19	39	359	1	127
g1362	81	72	123	59	322	72	229	65	4	41	10	12	179	143	86	22	51	55
g1363	2640	2199	1489	494	3261	1167	1726	1656	463	1226	999	1873	3015	1050	949	2875	1583	3236
g1364	796	449	666	566	824	611	568	280	649	392	252	675	472	589	367	444	479	1041
g1365	10	2	3	15	6	0	3	0	2	7	4	4	0	3	1	2	1	1
g1366	1874	1491	1739	1884	2497	2888	1927	1819	1593	1343	2109	1741	1590	1403	1261	1628	2634	2028
g1367	2913	1220	1475	2192	2030	1074	3117	1215	862	631	1395	1724	1552	2091	1963	2181	528	1185
g1368	414	287	447	526	539	427	461	166	414	177	287	308	473	377	236	314	353	649
g1369	1068	1081	966	2325	1526	827	1899	989	1128	1035	1919	1492	2875	1925	1128	1743	2743	1890
g1370	223	87	146	156	173	144	213	117	156	75	124	118	202	175	116	194	204	137
g1371	55	26	54	21	48	43	30	17	11	28	44	25	53	28	9	35	33	63
g1372	1845	674	691	719	960	1238	723	138	489	553	497	1162	1343	819	638	1121	1334	1384
g1373	6	6	14	5	23	4	3	4	14	2	9	7	7	7	7	9	16	10
g1374	87	62	95	89	239	187	294	72	39	29	56	92	45	142	106	170	22	69
g1375	597	155	525	507	437	147	426	202	413	194	467	268	366	508	321	581	504	488
g1376	216	50	93	88	110	199	94	125	49	26	204	75	65	65	82	248	92	37
g1377	18	7	3	7	29	23	5	2	11	3	17	2	12	5	7	3	16	16
g1378	1242	771	1173	1535	1837	1308	414	610	1003	679	769	2170	1482	728	614	1015	2059	860
g1379	646	249	582	499	613	466	390	357	472	287	476	383	436	633	280	584	492	346
g1380	45	19	42	16	30	46	11	65	31	15	38	54	34	63	36	74	25	47
g1381	22	12	1	4	16	18	13	6	9	6	3	12	12	7	5	7	16	6
g1382	738	452	1396	669	444	702	352	289	338	239	415	189	467	416	333	297	735	656
g1383	5	8	3	0	10	13	3	8	31	2	17	44	1	22	7	2	4	19
g1384	70	50	53	98	46	108	85	96	95	54	71	105	143	48	35	113	114	69
g1385	6927	5554	4152	4627	7962	5203	7243	4100	4700	3208	5401	5722	6561	4004	4219	6709	4702	6271
g1386	1165	535	832	648	966	991	804	475	595	536	873	718	884	756	710	612	683	810
g1387	33	31	28	49	63	21	45	35	21	28	36	34	67	11	30	20	20	23
g1388	2231	983	1585	3164	1925	1908	2412	1295	2138	1256	1636	1958	2303	1424	914	2472	1703	2905
g1389	340	195	227	484	729	599	279	345	393	297	451	300	915	510	431	432	501	742
g1390	25	28	15	15	63	19	27	43	18	15	14	17	8	10	17	20	15	26
g1391	1231	666	631	925	868	1028	869	714	1477	462	1178	263	1056	614	2067	1610	1364	730
g1392	281	90	134	239	149	209	291	48	55	148	156	109	182	125	107	191	312	177
g1393	4464	3494	5026	2783	4332	4663	2780	2615	2041	2872	4465	1519	2503	1675	3443	2593	4977	2461
g1394	1322	875	1555	1303	1704	1075	1299	1483	691	1076	570	1213	2327	855	1329	1092	1397	1624
g1395	3	0	8	2	4	2	5	19	2	2	0	14	0	13	10	2	2	1
g1396	3	3	0	0	0	0	0	4	4	2	6	0	0	0	8	7	2	2
g1397	479	106	316	164	294	233	221	197	177	272	187	187	408	279	234	216	208	340
g1398	0	3	4	1	7	0	1	4	5	2	3	6	2	3	3	16	4	2
g1399	3647	2048	2351	2412	2724	3619	3934	1979	2843	1071	2401	2189	3189	2861	1803	2562	3152	3467
g1400	10	0	7	11	4	9	20	2	11	8	5	3	10	10	12	12	7	19
g1401	108	107	172	187	85	98	145	95	116	92	76	118	312	142	161	181	190	119
g1402	9	0	10	14	16	31	6	10	13	8	24	5	15	18	6	5	9	40
g1403	23	21	17	18	6	40	13	6	2	6	19	17	3	9	8	12	19	24
g1404	17	1	15	1	0	0	3	0	0	2	1	0	1	0	0	0	3	29
g1405	252	94	212	248	393	316	197	312	191	283	220	85	44	80	233	223	73	146
g1406	20	24	22	31	26	22	20	9	24	23	24	12	40	20	15	40	50	40
g1407	264	235	142	145	157	113	139	202	164	48	175	209	348	288	244	270	131	255
g1408	78	52	18	31	14	53	103	63	30	4	80	92	30	50	3	51	25	40
g1409	877	697	657	1141	545	866	1095	610	592	518	621	967	1800	585	727	1298	1056	822
g1410	151	235	675	171	44	758	69	48	368	126	54	117	444	114	133	85	54	191
g1411	41	11	5	15	18	3	10	14	3	4	0	0	30	98	9	2	5	6
g1412	3944	1781	1415	1756	2646	4352	2152	979	1839	2045	2136	2357	3985	1211	1005	1834	1164	2152
g1413	12	5	1	3	6	3	4	7	3	1	2	1	1	5	2	3	5	9
g1414	38	12	16	0	4	6	51	26	0	23	36	11	16	17	3	2	46	22
g1415	2	2	14	1	0	2	14	7	14	6	6	2	7	0	6	4	19	5
g1416	9	9	3	4	11	4	26	3	6	14	2	4	5	4	4	5	8	10
g1417	19	8	13	2	14	1	9	4	3	5	10	9	0	24	8	10	0	26
g1418	33	14	25	25	25	40	23	24	29	9	22	17	28	24	16	21	26	31
g1419	129	99	54	134	116	74	80	105	218	92	167	124	127	137	83	104	165	120
g1420	1426	166	1400	77	1525	55	123	66	815	85	1481	316	412	93	944	962	1224	755
g1421	1576	811	887	1119	1455	773	952	732	932	878	1256	810	1254	922	1390	1101	1147	2030
g1422	3341	1541	2296	2416	2212	2277	3774	1328	558	1227	1254	1690	2995	1891	1453	2211	2029	1808
g1423	98	90	100	53	144	57	146	58	137	64	166	84	66	70	126	255	186	24
g1424	140	50	25	13	72	157	84	16	105	61	55	55	90	93	167	80	40	83
g1425	2564	1766	1775	2770	2581	2261	2162	1159	2178	1901	1886	1928	3477	2098	2149	2925	2293	2249
g1426	1793	1174	1262	1986	2324	1994	1197	846	1694	349	1500	2081	2198	2077	1656	1488	2008	940
g1427	679	609	460	656	379	359	813	630	632	180	529	388	941	624	615	658	428	542
g1428	114	85	104	101	182	135	114	56	93	66	47	117	113	67	38	68	98	106
g1429	12203	10578	6118	9378	9255	5391	8317	3348	5626	4248	5043	6582	6750	5298	7747	8313	7675	12972
g1430	118	70	47	256	83	49	125	132	59	50	82	78	165	64	95	167	63	25
g1431	2304	1030	1428	1494	2208	1589	1361	960	1338	1185	1457	1960	1817	1208	876	1846	1859	1703
g1432	63	37	24	44	85	32	18	53	20	39	65	24	27	2	3	2	9	26
g1433	715	146	268	727	472	214	435	644	395	286	617	359	260	489	354	330	387	542
g1434	2413	1105	2355	1766	2747	1565	1701	895	1845	867	1287	1655	1046	1937	1055	1558	2074	1896
g1435	96	46	80	13	13	60	0	2	137	5	0	62	10	97	29	28	9	25
g1436	137	67	88	56	111	83	62	48	119	62	146	105	108	54	59	75	87	79
g1437	0	4	13	6	19	7	4	3	13	5	15	3	12	10	3	5	8	4
g1438	9	46	8	5	9	1	0	7	3	0	5	11	5	6	10	5	4	45
g1439	4	12	10	14	75	65	30	2	15	1	36	6	11	0	14	63	57	38
g1440	1914	814	1473	1769	1129	1998	1180	685	1024	825	862	835	2800	910	964	1158	1389	1508
g1441	129	53	116	84	121	206	249	68	264	152	133	183	150	212	147	118	93	123
g1442	96	60	76	56	132	109	60	42	60	54	66	85	89	81	36	57	106	58
g1443	849	256	394	619	663	361	663	422	453	440	715	555	695	328	492	552	603	731
g1444	176	66	166	97	163	101	78	66	101	72	20	146	58	122	35	179	61	55
g1445	5	1	4	3	3	4	20	8	1	5	10	4	6	4	0	0	0	9
g1446	88	10	33	187	123	36	143	106	2	29	5	109	9	10	168	40	62	36
g1447	4	1	0	8	5	1	0	0	0	3	5	2	1	2	1	0	2	13
g1448	20	21	19	34	23	24	8	17	30	11	18	27	50	45	30	44	24	71
g1449	2425	1029	1363	1727	2375	1892	1934	1160	1464	1017	1022	1511	2121	2099	1257	1806	1349	1639
g1450	6487	3034	4034	6337	2527	5975	5394	2641	462	1979	2106	4730	3496	6530	2342	3006	2103	6707
g1451	13	1	3	3	7	8	1	0	7	5	6	3	27	0	3	10	2	9
g1452	34	7	5	9	57	60	29	40	3	2	53	16	8	66	9	47	16	29
g1453	1408	1936	907	1914	1383	946	3404	848	1175	1503	1141	608	1197	870	1265	5059	972	2037
g1454	113	67	160	15	366	30	77	63	156	107	74	207	185	151	196	73	264	437
g1455	4269	216	2303	1619	2752	1799	2116	1018	558	1000	1017	516	1159	1755	958	1343	3390	2319
g1456	587	589	475	770	718	596	611	504	581	405	667	525	731	786	486	856	580	873
g1457	1	1	15	12	6	0	13	3	4	9	4	1	9	7	15	4	2	3
g1458	21	9	2	2	18	2	6	10	31	1	9	2	5	17	2	30	8	11
g1459	16	18	90	24	42	28	8	38	61	22	45	69	22	44	20	72	83	37
g1460	1033	1182	1001	901	757	773	1057	709	624	655	743	1019	951	1184	606	1219	920	1515
g1461	5952	3008	4134	2663	3363	5138	4329	1824	6418	3789	2647	4170	6219	5060	3380	4077	3616	7049
g1462	299	124	195	187	151	135	166	68	125	127	128	129	184	142	127	172	265	135
g1463	139	100	94	151	125	68	104	61	98	66	107	80	103	148	81	66	116	100
g1464	17	15	14	18	14	5	13	7	9	5	6	5	7	8	6	13	12	13
g1465	10087	5748	10997	11341	11287	6522	8972	4904	6783	7978	8357	6795	9424	8127	4742	7129	10106	8422
g1466	1581	1171	1294	962	1420	818	1245	1123	1516	500	897	618	1474	1272	967	1568	1045	1140
g1467	772	636	864	837	1141	813	1081	689	727	533	772	924	991	814	727	919	1015	1019
g1468	368	22	114	49	186	165	203	193	120	82	79	137	145	37	94	139	189	60
g1469	107	96	134	62	58	211	166	164	49	103	92	93	99	201	21	57	193	100
g1470	4773	2549	2990	1738	5387	2544	3730	2687	4681	4018	2757	3189	3901	2099	1984	3390	2981	5425
g1471	38	1	8	29	24	6	8	8	18	8	7	19	22	12	17	22	18	7
g1472	14076	19229	34593	58590	46607	44775	33405	19641	32448	24398	20838	21995	28036	33899	19252	16317	25474	19077
g1473	250	122	383	224	428	266	192	136	199	244	174	271	316	258	220	574	272	535
g1474	1257	688	477	508	814	662	780	631	756	583	1016	754	1430	644	792	958	934	734
g1475	3565	2004	4674	3841	2972	3174	5685	2777	2482	1702	2830	2475	2514	2685	3321	2899	2114	2555
g1476	2637	2276	1633	1312	1835	1550	2194	1530	2149	1300	1017	2072	1425	1513	1376	2059	1730	2178
g1477	317	134	70	88	279	211	242	122	125	78	186	171	174	169	104	117	111	411
g1478	1	2	4	1	0	5	6	0	3	3	1	22	2	2	1	11	8	11
g1479	0	1	21	114	92	16	0	0	1	9	0	0	112	38	0	0	105	94
g1480	24	4	83	0	44	49	10	10	50	26	18	52	25	41	36	7	19	14
g1481	4	1	0	1	5	1	3	2	0	2	2	3	4	1	1	2	3	3
g1482	1431	715	2134	1637	1147	760	2038	1434	1386	1336	2011	1391	1414	1645	1444	1145	1512	2165
g1483	120	87	113	179	116	125	131	84	96	68	141	73	124	139	80	92	129	115
g1484	22	7	9	6	24	18	15	5	7	5	4	3	2	7	11	12	20	6
g1485	2	2	7	1	9	1	2	3	2	4	8	5	6	3	3	3	4	0
g1486	1068	840	964	1268	534	975	274	538	829	420	616	1051	1078	402	600	229	977	437
g1487	16	4	8	4	1	28	7	13	0	0	5	4	15	6	2	7	1	17
g1488	825	250	560	417	346	384	405	152	316	436	312	535	653	434	351	395	614	503
g1489	696	582	681	562	785	988	776	438	805	524	442	756	878	562	716	926	641	933
g1490	3	8	1	12	3	11	2	1	6	2	6	3	3	3	10	2	5	8
g1491	286	160	204	107	448	316	480	367	231	120	65	85	281	128	151	348	177	164
g1492	1656	274	796	862	799	99	1884	343	1186	1313	1846	3058	1038	584	2023	1707	753	1463
g1493	1561	931	2440	1437	1438	3537	3137	1698	2331	633	2761	1970	1904	2076	1156	1543	1525	1600
g1494	16	6	3	25	32	2	21	4	9	33	28	30	27	53	5	21	46	11
g1495	638	327	518	453	535	557	581	348	489	306	474	408	536	518	292	524	538	779
g1496	40	17	40	4	35	21	1	13	47	10	2	29	3	10	14	11	21	11
g1497	1953	1093	1117	1181	909	1045	1174	684	948	1011	1300	1665	1710	428	910	1616	1615	1053
g1498	33	198	32	397	61	158	152	102	184	126	60	159	58	303	140	212	185	216
g1499	566	490	726	674	1111	799	1026	356	497	392	728	871	706	821	544	475	786	747
g1500	164	81	136	207	209	239	234	78	181	41	171	192	159	219	149	165	78	145
g1501	12	2	13	5	4	7	0	0	5	4	2	5	2	13	5	6	7	0
g1502	121	46	52	75	59	91	93	64	34	36	52	40	86	71	44	51	55	68
g1503	536	619	785	922	894	900	1018	501	692	479	885	707	553	736	697	819	438	844
g1504	13	6	7	13	3	5	17	1	9	7	8	15	14	11	3	5	9	5
g1505	4297	1532	3282	3238	4026	3215	2859	1479	3251	1922	2342	3346	3297	2660	2063	2315	2536	3379
g1506	5	4	27	0	9	1	22	0	3	0	18	3	24	12	1	26	16	6
g1507	23	3	9	3	15	11	9	24	15	7	16	16	43	15	16	16	28	19
g1508	60	51	183	465	568	310	387	370	372	110	20	163	228	539	59	341	371	48
g1509	1672	2221	1016	798	6790	1505	616	386	443	1245	1418	247	165	320	129	1927	2948	563
g1510	5338	809	1397	4144	6946	2446	4490	1973	1838	2505	3487	1972	2873	2513	1348	3945	3196	3852
g1511	15	28	22	52	18	42	13	1	28	19	28	51	65	31	17	28	21	38
g1512	453	63	649	282	352	212	119	646	281	110	149	306	181	240	243	289	583	873
g1513	3073	2242	1970	2663	1760	1539	1863	798	1432	850	2996	3334	2005	2611	1132	2702	3355	4725
g1514	32	15	19	6	18	14	17	3	21	6	19	9	22	8	4	23	15	41
g1515	674	272	347	208	273	517	292	500	164	178	349	612	481	353	144	382	295	87
g1516	122	43	84	92	90	89	44	89	77	38	101	31	50	71	74	52	73	54
g1517	2195	928	890	1708	1157	1079	529	634	1159	870	958	1013	1539	1322	1002	1140	1610	1635
g1518	187	137	260	67	338	155	80	179	77	72	131	155	236	171	172	97	185	101
g1519	5	18	94	16	50	25	13	4	23	11	31	47	14	31	33	9	94	48
g1520	4	1	1	1	3	3	4	0	0	1	6	1	3	0	0	7	0	0
g1521	3418	2667	3118	4365	3392	3384	2888	1771	2979	1868	3231	3039	2589	3921	2548	3039	3028	4705
g1522	241	8	35	24	83	225	16	47	85	8	15	14	50	75	157	111	26	28
g1523	121	82	77	43	105	138	61	111	79	23	87	103	48	77	53	113	208	74
g1524	25	10	34	20	12	12	9	13	21	14	36	13	33	24	25	13	29	16
g1525	1186	1157	1455	1048	2277	1088	942	957	1414	738	2841	1127	2884	1051	1494	1741	1717	1658
g1526	108	97	78	93	113	162	79	65	55	61	116	55	143	140	57	97	88	93
g1527	350	11	206	27	109	190	163	108	511	455	107	168	640	273	102	500	222	20
g1528	5	4	13	2	20	0	35	9	24	18	27	17	21	61	16	47	38	9
g1529	1071	169	357	324	565	480	297	309	266	493	504	630	671	213	776	765	497	908
g1530	12	7	5	8	10	7	9	4	10	2	2	5	0	6	8	5	10	8
g1531	31	9	36	23	21	10	20	16	10	25	28	9	19	12	22	23	45	29
g1532	1	2	3	12	2	7	8	1	8	1	12	4	0	5	2	3	9	4
g1533	66	26	8	2	3	126	13	196	57	17	85	161	110	26	84	197	37	1
g1534	6	6	1	4	3	3	0	3	1	6	3	6	2	6	2	2	3	0
g1535	16	7	12	13	24	15	27	8	8	1	17	5	3	14	2	8	4	8
g1536	720	58	240	543	181	172	132	93	372	287	111	213	385	295	202	271	341	180
g1537	0	0	4	1	10	5	1	1	3	0	3	2	1	4	1	0	3	6
g1538	9	23	12	7	14	8	9	4	12	17	2	23	21	8	4	12	7	11
g1539	122	132	107	181	261	66	156	153	93	48	115	202	157	97	108	141	18	153
g1540	969	433	125	1947	511	2036	37	2118	461	912	697	1094	2757	2047	694	2163	1673	1857
g1541	18	21	15	16	43	22	39	28	13	11	22	20	41	31	28	21	24	16
g1542	58	36	87	49	55	54	106	82	36	64	92	61	147	63	35	125	38	137
g1543	28	10	6	11	31	9	74	20	2	49	14	28	29	17	15	43	28	59
g1544	44	44	86	67	60	46	55	43	40	48	43	36	83	36	68	67	40	54
g1545	1294	798	1096	1107	664	1585	1716	527	1270	486	517	276	926	1758	721	589	818	1428
g1546	129	69	188	63	99	85	123	44	139	95	176	104	251	43	21	69	79	135
g1547	5634	2558	4924	6201	5033	8565	7820	4147	3383	3577	5763	5802	5170	2830	2865	6759	6087	4615
g1548	49	49	4	3	80	76	122	118	45	49	40	35	200	138	70	71	32	340
g1549	19398	7658	17842	12013	18062	15482	11972	10377	9542	10840	10434	15290	17520	14830	10841	16487	9150	15479
g1550	4	4	4	6	1	2	5	3	6	3	5	3	3	3	0	4	4	6
g1551	241	165	163	212	319	225	273	108	320	117	198	137	291	306	155	344	136	82
g1552	1765	1448	2760	1705	1398	1531	2155	1122	1187	848	1672	2793	1785	2771	985	2163	1422	1482
g1553	796	274	485	478	507	526	472	460	386	321	500	621	691	504	503	668	425	504
g1554	132	163	71	178	257	65	101	88	79	34	98	157	202	53	69	139	180	142
g1555	52	10	0	53	18	37	8	29	32	7	52	2	58	1	8	2	45	34
g1556	32	2	22	6	33	43	51	16	61	13	24	46	72	34	17	129	31	33
g1557	11868	6871	9253	10330	9613	6926	11051	6215	10799	5464	8155	8249	7754	7215	8791	9416	9280	8636
g1558	2	2	6	9	7	6	0	2	0	2	0	0	1	0	0	4	4	0
g1559	13431	7736	7655	10887	15305	18432	13733	8033	8338	6266	9151	8906	14569	11068	8482	12253	12206	12293
g1560	1549	1020	876	1050	1534	1198	1731	1052	720	676	1578	732	1925	808	1019	1973	1407	398
g1561	21	32	40	46	80	23	40	18	28	37	25	41	75	58	28	36	51	48
g1562	11	10	15	6	22	3	9	12	11	4	20	12	7	34	28	17	0	35
g1563	7	0	0	4	1	2	4	2	2	3	3	4	8	1	2	3	3	3
g1564	5	5	9	6	11	13	3	8	6	5	6	8	9	5	7	11	8	10
g1565	7243	3306	4727	4084	5824	4329	4614	3179	3413	3153	3225	5256	5363	5340	3242	7362	3010	4862
g1566	1082	308	787	782	495	708	523	460	245	262	1397	617	1136	771	504	896	306	539
g1567	2105	785	2023	327	925	2856	1617	409	1009	667	997	987	1025	2590	705	998	546	460
g1568	1431	408	399	1313	955	991	926	461	799	289	533	550	971	660	338	958	989	2002
g1569	149	69	113	220	53	59	77	18	100	40	89	184	78	137	75	48	71	74
g1570	60	28	27	37	36	65	35	17	49	14	35	22	48	39	33	46	29	41
g1571	3	6	23	14	25	17	2	4	9	36	7	17	14	14	5	12	9	19
g1572	11573	2584	6819	11680	6427	6919	7705	3320	13046	3707	10844	5109	3549	6175	2951	5113	8803	11409
g1573	629	132	477	23	657	396	774	385	220	115	422	353	458	334	133	310	416	548
g1574	63	161	0	10	0	40	4	0	4	74	0	12	62	37	76	49	46	1
g1575	657	570	378	430	535	481	491	583	283	243	372	310	368	498	615	801	569	554
g1576	0	242	3	2	42	12	3	0	0	0	3	0	139	12	27	1	0	324
g1577	4	11	3	12	0	2	6	0	14	0	0	0	2	3	0	1	0	0
g1578	389	353	396	459	860	693	785	356	417	231	582	626	678	626	565	635	953	688
g1579	146	219	187	50	5	96	12	15	25	71	107	19	241	161	129	182	263	120
g1580	8758	10512	11530	5795	9556	4124	4229	3393	10614	3851	2773	8137	3123	2777	1915	2701	2748	8911
g1581	1147	1181	981	898	1306	1383	526	418	718	548	1081	983	1586	574	305	773	916	928
g1582	8021	5773	9996	8771	13966	7109	8929	5642	7740	5153	8188	6752	11286	8767	6164	8234	12054	4294
g1583	2337	1955	1759	1923	2097	1771	1587	1134	1763	1774	1187	2250	2836	1221	1723	3497	2383	2211
g1584	21	12	17	2	71	34	17	7	20	4	16	1	35	5	24	36	0	39
g1585	163	19	4	64	2	97	2	110	0	2	72	0	37	154	25	19	67	21
g1586	18	16	23	30	28	34	13	25	2	12	20	26	32	20	5	24	3	36
g1587	1092	853	1161	1006	1646	702	1496	827	1176	879	1786	1354	1263	287	1098	626	963	1183
g1588	465	290	398	284	334	307	390	254	409	274	342	334	348	508	238	464	396	343
g1589	510	541	559	391	469	891	406	354	498	321	345	337	844	479	255	595	451	523
g1590	6	4	6	7	5	3	3	4	4	3	3	3	8	9	1	4	6	8
g1591	2	0	1	0	15	3	9	0	9	0	12	0	7	0	1	0	3	0
g1592	3	7	0	4	7	4	0	1	0	2	1	0	5	1	1	1	2	4
g1593	868	813	1616	890	1468	1015	1215	472	986	1276	551	964	1807	1025	936	557	1273	1555
g1594	85	51	27	51	103	22	50	31	37	33	39	20	54	37	21	139	42	70
g1595	14	7	11	4	11	10	3	5	7	7	8	5	19	5	6	3	8	4
g1596	2981	3114	8629	1037	3552	3569	7134	1271	3325	1240	2787	3679	3889	3848	540	1478	3419	2073
g1597	510	379	721	1483	582	615	1369	968	406	457	687	634	629	419	463	431	321	397
g1598	1761	1677	2755	2391	3189	3033	1633	1649	3512	1241	4917	4501	2532	685	2656	4400	3611	4158
g1599	493	601	504	425	474	560	396	451	562	166	603	271	499	343	905	602	245	334
g1600	1246	615	1310	1108	1528	944	930	593	1736	388	1144	632	2105	1186	1351	1527	611	935
g1601	115	79	182	60	172	129	180	48	63	37	156	135	120	94	67	110	135	150
g1602	3915	1786	2475	2246	3095	2416	2313	1519	2429	1434	2001	2867	3015	1613	2014	1892	1859	2417
g1603	1022	727	795	1190	938	768	1184	291	689	601	1009	612	1646	472	575	1150	669	1125
g1604	1564	682	1118	1442	1705	611	1061	973	1101	967	557	1365	1632	1055	812	804	954	1427
g1605	3	7	10	6	1	0	0	1	4	0	11	4	2	13	8	0	19	16
g1606	337	185	142	392	333	270	339	161	227	163	168	187	460	261	221	348	477	537
g1607	227614	97578	195057	59069	225873	142482	330126	58462	114623	46012	125717	115381	351833	92104	56241	188817	96500	185900
g1608	346	240	544	165	341	312	348	182	271	401	628	357	774	354	771	1124	522	302
g1609	382	173	339	109	265	228	103	122	174	22	84	161	16	399	81	131	121	90
g1610	2420	1260	1459	2321	2021	2878	1954	901	2222	1504	2979	1834	3668	2865	2116	1712	3153	2319
g1611	96	41	86	77	67	53	113	58	93	51	93	62	90	76	82	77	129	76
g1612	854	763	2058	1546	1395	1249	1098	1044	962	929	1657	2586	2010	727	1653	1575	1688	1622
g1613	58	36	91	64	69	26	181	41	18	26	38	61	97	104	25	92	37	65
g1614	11416	5082	4868	5565	6419	5332	8035	4217	3935	3666	3844	5386	7081	4972	3056	7598	8926	7709
g1615	1345	669	893	776	1485	683	874	368	765	441	862	1238	1213	623	979	1031	1184	1150
g1616	2314	1854	1558	2282	3067	1983	1441	1849	1058	862	1819	2892	2996	1666	506	1317	1039	2015
g1617	231	397	233	265	309	299	310	293	228	144	336	236	337	376	205	260	367	460
g1618	1651	1282	2062	1853	1999	1467	1435	1200	1332	1248	1528	1708	1857	1902	1180	2223	1640	1676
g1619	64	60	35	60	48	22	113	20	31	35	32	35	69	44	30	55	42	96
g1620	381	286	253	422	272	407	520	231	271	43	287	255	648	350	217	262	299	173
g1621	313	126	64	305	335	20	130	295	84	5	193	55	99	70	70	43	71	475
g1622	0	1	0	0	9	78	0	0	1	0	5	2	6	0	7	2	6	2
g1623	32	15	2	60	21	36	14	35	19	13	42	9	11	5	26	14	17	33
g1624	64	16	66	77	19	5	5	11	67	11	13	10	102	27	18	10	25	36
g1625	125	33	56	39	52	4	198	103	72	42	221	32	111	75	163	38	80	17
g1626	504	332	861	362	172	515	453	279	337	88	402	171	863	253	199	512	657	375
g1627	2	3	2	11	9	4	6	6	6	5	7	4	12	5	3	17	12	9
g1628	35	28	4	71	14	13	38	111	44	68	131	11	67	91	15	0	114	21
g1629	3	33	32	29	114	23	3	23	2	7	100	68	20	57	55	28	43	53
g1630	2620	3909	4970	4141	2729	2669	4689	3461	4374	1943	2711	1599	1036	2642	2464	2771	2451	4869
g1631	293	471	281	701	274	536	323	84	539	407	699	207	336	304	344	480	280	513
g1632	1123	478	963	789	509	700	977	747	1337	489	696	623	707	988	449	809	854	770
g1633	18	4	6	6	8	22	24	13	7	0	2	4	7	0	8	5	0	22
g1634	9	0	6	3	1	6	1	0	0	3	3	6	2	2	0	6	2	3
g1635	115	10	32	107	28	121	79	45	42	32	1	6	10	122	28	128	78	5
g1636	9	0	39	31	12	4	2	0	0	2	33	0	14	0	26	13	2	35
