	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18
g1087	6	4	25	43	11	16	68	25	2	63	3	129	8	6	4	0	61	17
g1088	20	45	57	20	21	42	9	32	12	34	21	28	37	19	40	34	19	20
g1089	1272	3936	2196	3511	4992	2948	4146	2884	1732	2593	1961	2847	3381	2185	1269	2788	4152	2276
g1090	32	19	41	26	47	31	37	81	25	48	14	31	11	15	31	97	47	32
g1091	137	184	60	116	161	83	208	144	165	97	76	77	121	62	61	107	130	72
g1092	60	257	61	187	85	127	220	175	168	197	111	32	186	93	85	212	83	60
g1093	138	177	116	91	140	81	136	147	14	85	93	35	77	107	61	7	90	44
g1094	322	942	284	734	512	500	809	902	391	617	239	278	829	525	466	426	611	219
g1095	21	18	24	38	29	17	36	45	34	41	4	11	9	33	8	18	20	15
g1096	0	2	0	5	1	3	14	0	0	10	0	4	3	0	0	0	26	30
g1097	395	639	447	848	893	459	893	487	516	263	473	437	505	431	347	417	864	372
g1098	172	204	183	449	325	207	405	687	433	146	303	361	355	132	236	322	288	217
g1099	419	393	661	669	553	340	717	1105	318	259	661	295	457	101	430	1451	847	166
g1100	240	186	469	617	464	354	605	540	364	359	184	313	254	195	314	486	532	289
g1101	0	1	1	0	0	5	0	2	5	2	0	0	4	4	0	16	0	4
g1102	2	6	9	8	6	6	7	5	4	2	3	3	3	4	3	9	6	3
g1103	383	443	99	541	460	550	414	96	157	138	150	250	596	344	234	101	477	281
g1104	2	3	2	6	1	5	3	0	11	0	0	1	6	0	3	3	2	0
g1105	13	28	5	27	50	38	22	53	5	12	9	8	11	6	0	100	2	35
g1106	116	132	78	178	132	71	146	29	64	172	107	106	102	59	102	117	129	35
g1107	123	262	364	201	501	440	457	43	22	193	92	531	421	16	410	637	281	83
g1108	877	833	529	807	604	1155	781	1468	499	885	863	629	1039	622	415	971	1373	566
g1109	426	101	17	192	131	61	192	441	34	32	10	189	92	71	286	131	140	37
g1110	750	1023	1317	840	793	745	981	1266	854	624	542	625	669	486	722	1083	1043	401
g1111	66	135	55	38	122	32	40	35	32	10	36	2	138	107	30	90	176	0
g1112	1857	3611	1462	1941	581	971	2745	2903	1552	3022	1646	1848	1775	917	764	2005	1143	1678
g1113	969	1087	1170	1113	1555	758	1182	1362	870	734	613	704	1010	892	888	1254	1722	595
g1114	1135	1953	954	1460	1287	999	1884	1888	937	1242	882	876	1121	966	1016	1998	1682	707
g1115	144	89	180	165	200	300	326	363	180	111	138	370	503	187	146	626	299	160
g1116	684	931	767	876	1069	668	595	1334	636	1041	568	400	401	321	495	1007	681	417
g1117	474	473	349	466	254	263	464	178	185	363	224	173	331	239	167	507	270	222
g1118	566	765	561	1237	637	535	1596	657	384	568	410	622	724	432	362	896	820	483
g1119	33	76	86	19	29	33	99	43	26	56	47	20	25	3	98	29	15	37
g1120	56	220	50	89	11	73	87	148	63	107	20	57	51	3	17	177	24	35
g1121	2	30	1	109	0	8	4	0	0	2	7	2	0	2	11	3	18	40
g1122	1353	1507	1821	1761	1580	1396	2711	3420	1290	1522	692	1443	1354	628	909	2183	1265	939
g1123	13	19	3	14	32	20	34	38	3	3	9	7	2	1	8	27	25	15
g1124	2	3	4	4	2	2	5	5	6	1	2	0	0	5	1	6	3	1
g1125	3	3	5	0	1	1	16	1	7	3	2	6	1	0	1	3	3	5
g1126	2	5	1	4	1	5	2	1	5	11	1	18	9	1	1	0	4	6
g1127	17	23	15	41	2	8	41	26	7	12	10	28	3	5	10	6	11	18
g1128	21	14	19	39	27	26	68	23	52	50	12	121	61	28	24	5	8	73
g1129	29	50	28	34	38	29	52	188	10	34	40	40	99	32	23	114	45	18
g1130	7	8	4	12	10	14	9	11	13	17	4	8	1	4	9	8	23	4
g1131	0	2	0	0	2	6	8	0	2	0	3	0	1	0	0	11	13	1
g1132	41	50	26	75	8	19	36	94	38	20	24	22	49	11	19	45	106	16
g1133	25	10	14	30	15	11	29	24	10	20	12	16	9	10	11	20	27	16
g1134	40	59	24	62	51	30	92	90	34	44	31	46	36	55	29	53	70	17
g1135	1482	1048	1536	2425	2053	1295	2120	3349	1402	1312	983	880	1363	571	801	1446	1740	968
g1136	6	94	39	58	14	18	15	45	39	118	20	16	3	40	44	77	13	32
g1137	13	65	24	44	14	9	53	56	21	29	2	29	29	7	5	32	3	6
g1138	184	83	255	249	108	193	321	215	163	83	156	79	217	198	90	134	140	167
g1139	78	3	9	124	96	6	32	8	0	16	116	184	22	199	138	23	88	18
g1140	56	27	51	25	17	9	38	32	8	19	42	42	31	44	35	36	43	50
g1141	8321	6652	5115	12129	9278	6399	11466	5121	3920	3995	3518	2490	4752	5531	4507	11394	5080	3646
g1142	573	650	607	1135	758	520	833	1094	287	610	573	381	628	576	465	1087	1072	505
g1143	1	0	0	11	1	13	36	11	6	17	7	16	1	0	2	37	3	11
g1144	293	279	246	216	493	220	465	280	285	215	185	220	229	187	252	258	330	195
g1145	16	29	95	135	85	25	66	39	132	92	50	35	61	41	46	69	40	32
g1146	60	125	138	135	62	143	131	125	85	76	70	107	72	112	61	201	183	102
g1147	793	691	2019	1433	516	732	1376	1000	560	1552	408	1263	896	978	344	907	1470	1046
g1148	14	16	3	19	7	23	27	47	0	4	14	3	15	5	60	20	1	14
g1149	560	330	492	562	198	302	699	646	306	270	118	339	621	414	217	410	579	244
g1150	9	3	3	20	14	6	16	13	4	7	3	8	3	1	7	22	11	12
g1151	8	5	5	6	12	2	4	24	9	4	3	5	5	0	4	7	28	13
g1152	2	11	2	18	6	3	7	14	11	10	2	4	8	3	4	20	2	0
g1153	307	1072	632	1141	681	171	418	1272	1271	969	1547	287	658	300	420	1385	838	313
g1154	787	280	569	1486	801	332	1691	918	1882	147	503	591	1315	651	673	322	1133	356
g1155	142	310	79	250	182	100	249	364	99	160	144	160	410	155	176	373	182	232
g1156	4	5	1	8	2	0	0	7	1	5	0	7	1	2	0	2	0	5
g1157	882	970	755	1540	1027	927	1162	1010	998	716	514	682	1041	701	610	1103	1148	594
g1158	794	1418	579	675	1539	795	1211	856	832	851	645	520	902	585	473	1044	243	603
g1159	11102	12625	11502	17495	12705	9023	19221	18691	12074	11047	10615	8437	13488	10459	7458	11489	14517	9102
g1160	1	1	8	28	62	36	20	40	76	36	10	18	32	14	36	143	36	44
g1161	142	105	126	183	165	142	77	141	95	184	154	89	138	128	123	317	49	135
g1162	99	204	146	170	68	75	210	81	146	100	75	115	142	106	57	241	176	96
g1163	9	137	2	16	113	17	52	24	23	39	49	64	12	13	46	59	93	23
g1164	552	659	537	1114	465	488	827	828	637	430	372	381	592	625	424	1247	864	614
g1165	14	14	4	52	19	22	33	38	19	9	22	6	11	15	32	18	35	10
g1166	19	16	68	11	20	18	56	16	6	24	17	11	35	15	8	16	33	15
g1167	380	900	414	716	757	381	1271	1372	391	600	432	471	498	440	444	518	857	364
g1168	206	477	337	258	305	126	454	438	348	301	289	99	448	317	151	290	456	158
g1169	695	1003	1007	1341	1271	662	1241	861	1200	675	611	470	613	889	738	1149	1068	515
g1170	105	162	129	103	64	56	55	58	161	36	96	59	99	88	15	140	61	24
g1171	29	25	0	69	46	22	69	18	1	17	5	0	2	0	2	44	12	43
g1172	44	159	42	130	104	112	146	81	25	72	12	35	60	32	9	72	24	27
g1173	67	54	83	139	46	46	116	95	55	73	23	46	12	37	23	61	68	46
g1174	457	740	428	407	635	470	1289	525	372	443	217	931	686	268	462	605	914	323
g1175	604	715	417	494	720	123	248	138	87	94	172	471	263	62	146	330	621	78
g1176	66	39	34	93	151	38	101	67	76	41	46	72	80	20	102	148	181	62
g1177	457	518	533	1374	608	668	733	920	730	478	291	515	380	351	326	883	974	507
g1178	46	73	80	47	45	97	76	10	45	17	16	94	47	15	14	113	73	38
g1179	5	11	17	127	0	39	15	20	3	9	0	22	65	9	7	220	21	5
g1180	1672	793	530	1945	648	1482	2819	2553	780	630	1632	905	1666	729	830	828	1614	641
g1181	1707	503	920	2712	1013	1492	1378	1578	1553	596	997	520	769	1362	845	2024	1120	1018
g1182	102	120	66	331	72	28	136	200	105	183	64	108	193	114	121	134	194	75
g1183	6	14	6	4	15	8	18	4	4	3	5	1	6	3	2	13	7	6
g1184	6	17	8	26	36	8	17	30	13	12	13	12	25	16	14	23	32	18
g1185	15	27	24	28	19	19	32	13	20	25	18	8	23	16	46	24	41	34
g1186	13	9	9	11	1	1	5	12	4	10	8	1	21	4	3	27	2	15
g1187	1	0	3	6	7	6	3	0	6	5	3	5	0	4	1	26	6	4
g1188	24	29	18	47	28	16	35	14	26	18	8	17	33	15	22	38	29	22
g1189	87	105	65	84	70	38	91	47	63	50	33	64	100	37	35	88	80	37
g1190	3462	4426	3146	6303	4221	3251	6243	4713	4890	3646	3299	3498	4174	3214	2090	6027	4040	2487
g1191	177	308	190	323	284	228	479	312	228	181	174	222	249	174	198	252	404	161
g1192	3033	8194	1657	4517	7880	1907	3443	4271	2552	2081	1964	3884	6697	2772	2876	2915	4707	2183
g1193	0	8	3	3	3	2	0	1	1	3	8	0	0	9	1	28	0	0
g1194	58	78	40	110	65	50	109	73	66	58	23	42	59	55	46	76	64	40
g1195	0	0	0	5	123	0	0	0	0	0	0	0	0	10	0	0	0	0
g1196	14	26	20	23	22	21	27	33	19	21	19	11	22	17	11	17	19	13
g1197	598	1448	1239	1822	1066	667	1444	506	1762	1174	1053	686	1531	765	682	2070	1076	648
g1198	123	216	176	177	166	208	238	202	222	83	103	124	199	165	128	199	219	147
g1199	19	6	4	17	10	11	20	16	0	24	4	9	0	17	2	27	14	11
g1200	44	54	64	77	68	47	135	71	26	59	38	39	38	61	21	117	47	68
g1201	55	24	38	32	22	25	52	32	46	20	47	55	48	31	17	39	38	34
g1202	109	207	183	310	328	155	459	195	131	138	125	136	177	121	161	338	323	146
g1203	3115	3605	2297	4259	3112	1719	3854	3568	2138	1840	1776	2011	2302	1386	2374	4069	2530	1917
g1204	5	17	1	2	7	4	4	3	2	6	2	4	4	0	0	3	1	0
g1205	15	9	17	4	22	12	12	15	16	18	11	22	16	13	13	16	23	18
g1206	32	12	67	13	89	39	59	56	89	51	42	26	9	65	11	79	22	15
g1207	4520	3605	2257	4092	2901	3066	4847	3356	3806	3480	2508	3453	1904	2077	3895	4217	4150	4755
g1208	10914	13806	6043	9573	4405	3706	11357	7988	7885	3513	1881	7646	7121	6684	2238	7418	8599	3081
g1209	3	7	1	5	9	2	1	3	0	3	2	1	1	1	0	1	8	1
g1210	2677	1544	1365	3508	2571	1697	1997	1836	1090	513	1582	622	906	903	1215	4387	3906	1650
g1211	3911	3950	2901	4181	5110	2761	7448	5054	3213	2996	1779	3416	3071	2090	1162	4811	3916	3731
g1212	2580	8025	4144	7024	5975	2768	8409	5620	6783	2754	1608	6158	9034	3646	2875	6316	8194	2704
g1213	111	84	69	219	106	142	156	177	70	39	67	138	90	62	97	34	75	55
g1214	969	1987	945	2544	1466	1056	2537	2299	1339	1183	879	915	1081	1172	992	1643	1813	1109
g1215	108	31	75	53	149	37	97	86	65	66	11	106	76	44	100	142	66	86
g1216	1777	3697	4230	9345	4562	4512	5270	2084	3668	3553	2505	2900	5106	1252	1499	3779	4536	4330
g1217	114	142	214	211	119	105	270	337	182	74	101	129	183	107	173	218	289	200
g1218	34	297	16	147	68	61	89	106	46	95	58	25	109	59	61	79	15	35
g1219	3	49	23	28	27	25	32	64	44	17	23	10	10	39	44	64	13	6
g1220	13	74	73	40	108	69	346	0	19	50	27	2	29	111	70	12	9	0
g1221	1	2	0	3	2	2	3	2	2	1	2	0	2	2	3	8	3	3
g1222	12	8	12	12	3	11	18	15	11	2	2	11	12	17	11	4	12	7
g1223	703	1535	1119	2338	1984	847	1649	1697	1602	886	798	613	1187	749	1015	1339	1478	559
g1224	1074	2032	710	1861	1275	870	981	1717	1090	1827	418	1131	1506	621	751	1152	1388	1363
g1225	0	27	63	0	0	2	0	5	9	19	1	3	3	1	0	0	0	7
g1226	3894	5656	3398	6043	4439	2204	6747	6347	2529	4410	2879	2695	3648	2086	2624	5475	5856	2851
g1227	467	690	966	874	574	476	1740	1206	721	268	654	914	630	580	537	786	847	934
g1228	11	346	167	72	30	249	269	78	52	145	137	127	127	66	224	288	311	143
g1229	136	106	182	455	812	235	864	341	386	128	214	204	354	256	187	140	457	53
g1230	1753	2051	1443	2355	2121	1732	2293	2063	1469	1452	1018	1236	1501	971	774	1874	1683	620
g1231	8	4	3	11	10	6	18	3	7	6	7	1	8	3	8	8	8	1
g1232	37	25	17	17	28	2	2	33	9	25	2	12	12	24	26	28	13	10
g1233	3765	1939	2060	5569	422	2168	1353	1336	2834	395	1210	1270	1375	217	4469	2831	662	2563
g1234	23	3	10	15	91	0	6	9	7	0	0	0	0	21	5	5	12	1
g1235	1820	1037	1647	1794	832	476	2301	2178	1082	243	1128	924	1332	263	711	2638	2697	1604
g1236	6814	5271	5417	6632	6242	5203	5761	9719	4811	6140	4513	3711	7653	5027	3625	7901	4072	3318
g1237	194	439	357	338	325	217	387	596	313	333	130	488	340	276	184	198	487	275
g1238	2	8	0	5	0	2	2	0	0	4	4	12	0	2	8	5	0	3
g1239	746	304	896	715	874	1314	615	795	46	420	602	106	221	128	256	890	352	285
g1240	1588	1208	944	1623	1668	810	2213	1752	1411	1174	719	884	1101	897	1030	1388	1039	834
g1241	2	2	3	5	3	2	1	3	1	1	2	0	0	3	3	1	5	0
g1242	1476	1628	1435	2711	1686	1638	2073	2093	1992	2012	1049	1683	1266	1233	1095	2267	2282	745
g1243	2020	1415	1762	2879	1488	1449	2089	3073	1442	1196	1257	1016	1997	1201	1581	1588	2410	824
g1244	125	85	31	40	158	17	37	119	58	37	19	109	22	32	105	6	97	131
g1245	1345	1318	1129	1101	910	1011	1430	1093	1088	1293	524	1145	927	832	621	1175	1554	913
g1246	1578	1886	1507	2103	1453	1338	3029	1850	1436	1504	1201	1294	1678	1178	1148	1831	1934	1090
g1247	0	4	0	14	3	3	9	1	5	0	0	2	0	4	2	0	11	0
g1248	621	538	431	865	692	745	1004	1072	586	424	389	289	671	592	388	1124	1314	389
g1249	88	114	48	101	65	63	50	97	72	60	39	66	34	33	33	45	36	29
g1250	8	32	14	18	2	21	30	11	16	8	11	9	13	9	16	16	3	14
g1251	36	21	33	18	28	15	29	4	6	20	10	70	13	7	9	12	11	26
g1252	693	599	493	1631	722	456	1091	757	878	573	442	599	619	582	585	857	882	356
g1253	0	0	0	0	0	0	0	0	0	0	1	0	27	2	10	2	2	0
g1254	1166	1138	929	1559	1159	511	1052	904	800	756	571	715	900	745	630	970	832	719
g1255	1039	1780	742	955	909	846	1162	900	842	581	736	1012	743	978	569	1040	1461	622
g1256	33	78	48	83	45	34	49	17	29	45	33	27	41	16	35	44	68	36
g1257	5	42	14	14	7	8	69	15	41	3	8	22	15	3	6	8	7	5
g1258	1970	1539	2194	6183	3413	1387	6484	3135	2509	1622	1970	2938	4590	2830	1299	2265	3261	1209
g1259	785	1393	931	1678	1088	793	1827	1760	800	1030	967	786	1197	906	814	2371	973	750
g1260	672	460	251	866	554	496	822	543	408	408	370	451	479	540	182	611	578	231
g1261	549	168	379	812	675	472	231	252	222	206	198	210	107	59	150	364	713	315
g1262	45	37	42	52	140	33	34	95	96	73	65	35	61	105	66	29	73	14
g1263	85	176	444	311	178	184	468	258	325	102	112	15	264	99	159	121	289	155
g1264	1477	2154	670	1786	1767	1887	2146	1482	1202	1739	1112	961	1054	1125	1242	2139	2286	1761
g1265	0	3	5	13	4	10	1	4	6	0	0	0	19	3	4	0	1	10
g1266	16	5	4	14	0	6	20	30	1	6	10	12	4	7	2	17	2	7
g1267	0	8	1	15	9	0	0	4	0	1	4	0	4	3	3	9	5	0
g1268	45	27	12	86	46	3	39	55	24	21	13	93	4	4	12	4	13	14
g1269	12	7	5	9	3	0	4	10	3	2	1	5	9	3	6	14	9	7
g1270	715	628	409	687	635	422	752	682	413	527	318	397	447	266	382	638	458	236
g1271	1562	5908	1030	2322	5446	2257	10485	6586	3982	2607	2372	3166	1669	2117	2432	4548	2459	1270
g1272	2140	2394	2196	1096	1053	1296	1901	833	1177	1063	938	1099	1410	2517	995	1051	2859	789
g1273	516	988	651	964	616	703	1320	768	747	623	511	504	548	303	421	591	855	481
g1274	505	629	384	778	507	312	552	846	615	235	498	544	636	506	633	402	707	408
g1275	310	129	70	153	46	58	320	70	29	23	122	72	32	70	60	83	203	94
g1276	4678	4779	3832	5427	5662	4073	4990	7274	5740	3556	3234	4973	5569	5376	3374	5424	3292	4687
g1277	1564	1450	1237	1651	1350	784	1572	1684	1083	1144	877	948	1305	1095	1023	1392	1691	953
g1278	832	2092	602	874	1153	891	1589	1498	759	1044	981	435	437	736	739	1911	1138	593
g1279	38	343	175	760	269	374	169	135	269	481	213	333	202	194	139	413	316	108
g1280	916	1285	1403	1520	1306	1539	3708	718	899	1495	646	1139	1809	768	1177	1471	709	1036
g1281	40	105	38	57	24	32	94	84	37	37	45	73	49	20	47	59	61	49
g1282	33	56	26	83	51	31	60	25	8	15	25	13	20	14	20	28	52	15
g1283	5636	3151	3057	6073	8031	2964	8604	4665	5448	4025	5611	1637	6350	3342	4037	5708	5133	5452
g1284	279	160	54	89	88	91	300	204	130	102	187	73	233	109	97	231	85	82
g1285	59	84	22	95	37	38	37	48	15	12	14	23	41	38	47	44	7	24
g1286	638	570	497	806	825	730	1064	1243	771	664	329	503	906	528	513	1240	779	349
g1287	385	429	512	913	424	798	1161	679	339	700	668	653	528	329	551	599	777	639
g1288	295	266	289	468	276	175	508	275	401	360	150	254	555	272	148	597	502	183
g1289	1642	1561	1840	1284	1207	1345	1258	2166	1647	870	709	692	952	1147	706	1272	1208	581
g1290	42	5	2	1	42	14	29	2	6	21	0	23	12	4	15	6	62	14
g1291	4190	3643	1410	5517	3059	2459	3449	3818	2061	2618	1553	1848	2399	1455	2099	2288	2996	1989
g1292	735	885	765	1712	1176	919	1248	1927	1014	710	542	683	884	439	663	800	971	595
g1293	183	167	55	224	64	207	227	201	167	85	55	131	172	152	247	181	251	118
g1294	12	13	8	14	13	11	15	20	2	12	5	5	6	9	2	13	10	14
g1295	1719	3876	3737	3011	4776	1585	5925	3440	3072	3844	1611	1200	2929	1162	1688	3939	2298	1304
g1296	170	97	140	203	217	155	139	210	153	93	56	129	234	104	95	203	213	147
g1297	12	12	14	11	10	17	43	31	6	19	36	16	32	9	16	16	38	13
g1298	132	176	101	134	143	83	162	211	124	106	87	131	182	121	85	169	182	84
g1299	26	135	63	138	35	42	181	89	77	57	86	54	142	86	179	189	267	156
g1300	2	2	2	10	16	2	4	6	13	6	3	2	10	1	5	0	8	5
g1301	5878	8689	6523	11772	6805	4238	5890	4215	5039	4870	5239	4960	6193	5925	6326	7832	5493	2997
g1302	2037	3306	2283	3384	2825	1648	4539	4203	2680	2504	1875	2301	2712	2250	2050	3409	3171	1714
g1303	1175	946	888	1285	1296	554	2025	1222	965	758	598	857	829	791	710	993	1656	658
g1304	122	84	79	168	90	71	251	156	83	75	55	87	120	81	73	83	109	42
g1305	1522	1885	1359	4550	1627	1486	1488	2306	1714	508	1056	701	1550	978	839	2042	2071	823
g1306	174	274	72	203	97	84	73	172	92	77	103	34	76	65	39	99	119	108
g1307	38	64	32	59	41	37	41	27	24	55	13	18	30	33	24	83	64	22
g1308	670	1122	274	952	574	457	927	713	387	335	375	458	410	485	464	740	796	338
g1309	14	12	4	12	6	8	9	19	7	16	4	7	12	8	0	8	12	3
g1310	30	51	39	43	29	25	52	42	40	62	20	30	29	57	36	57	45	21
g1311	1	5	0	18	0	0	1	6	0	7	1	1	6	3	2	7	13	3
g1312	433	381	461	524	520	380	489	589	367	459	273	328	524	312	350	467	540	430
g1313	91	74	18	13	16	12	44	6	19	19	6	8	25	12	13	34	41	14
g1314	45	606	346	264	1292	1303	842	483	4	177	210	214	142	508	337	1213	302	216
g1315	1478	2983	1737	3473	1199	1509	3529	2978	1396	1775	1233	1204	2152	1123	916	2292	2635	1761
g1316	43	63	33	46	35	30	47	51	28	38	25	40	36	38	9	58	52	19
g1317	0	133	17	5	0	0	0	0	0	0	0	0	4	22	30	0	0	0
g1318	702	1240	786	747	980	282	730	1044	361	427	527	203	842	374	712	1143	851	479
g1319	1699	1443	1468	1616	1186	876	1960	1828	2095	2371	1084	1025	2000	1537	796	2631	2040	1130
g1320	982	1304	328	3180	1338	422	3132	714	1239	1010	1552	188	1622	437	1549	1813	2883	506
g1321	227	243	157	119	318	60	66	386	90	283	62	163	235	143	141	255	185	114
g1322	1219	1992	959	1600	1322	534	1934	3293	1101	1185	967	1334	891	1419	884	2394	2036	1183
g1323	2	0	0	7	2	0	2	5	2	0	6	1	2	4	1	2	3	1
g1324	25	65	31	37	28	37	29	52	22	21	30	31	57	24	19	90	73	32
g1325	3524	1479	846	1869	2320	1748	2729	2738	1915	1739	1896	1870	3032	1319	828	2637	3460	1612
g1326	148	767	172	213	152	165	304	270	253	146	226	200	142	46	361	123	326	366
g1327	24	42	10	43	25	30	25	50	24	14	19	27	48	34	24	29	41	15
g1328	53	49	27	33	28	34	84	46	112	42	109	53	82	43	18	24	30	33
g1329	604	851	529	1468	560	816	966	870	753	439	370	662	1033	486	689	647	851	404
g1330	92	269	67	306	243	110	183	136	109	45	120	104	25	57	79	91	77	52
g1331	18	27	9	44	24	8	33	15	19	19	16	21	19	11	24	22	30	11
g1332	51	39	26	67	30	28	48	54	29	24	18	30	45	37	42	27	51	19
g1333	91	68	47	104	44	30	262	108	45	87	65	50	112	88	60	59	131	28
g1334	311	1163	599	611	1068	495	949	705	1661	925	285	700	360	652	609	1232	1475	644
g1335	8	9	4	16	8	10	7	10	19	10	4	6	8	4	1	1	18	8
g1336	138	87	167	334	123	110	348	141	277	556	65	190	238	629	189	177	248	414
g1337	668	450	269	1301	785	264	1758	435	270	463	622	319	635	382	837	929	668	268
g1338	64	98	56	181	65	50	140	78	81	63	82	43	57	35	36	94	77	58
g1339	20	25	8	9	21	14	17	12	7	1	18	0	16	7	4	10	3	1
g1340	82	159	176	310	299	192	216	304	164	101	98	108	163	90	101	182	144	81
g1341	2868	6994	3681	4534	5536	3605	10578	7133	5106	4297	2546	3627	4807	3913	2764	4072	4004	3276
g1342	9	6	17	9	14	27	2	16	5	29	16	19	2	14	12	21	16	8
g1343	285	142	311	348	279	226	448	387	265	222	226	392	191	105	132	311	512	253
g1344	342	130	48	125	104	271	162	57	189	97	51	95	112	189	89	189	119	33
g1345	24	43	40	16	48	22	86	18	49	28	18	22	41	27	40	176	56	36
g1346	36	65	87	19	6	18	70	155	4	224	36	14	21	88	72	107	72	19
g1347	806	1277	345	1306	1660	841	2366	1805	532	376	542	508	799	1588	231	796	687	323
g1348	9	40	27	2	0	49	27	29	19	27	0	5	26	31	27	0	24	15
g1349	9	8	6	10	8	10	11	5	9	6	5	7	10	5	5	22	6	8
g1350	0	17	2	0	8	0	7	1	10	1	0	4	1	0	0	9	0	0
g1351	115	178	71	87	172	51	147	154	69	114	37	64	54	36	91	53	25	18
g1352	257	721	261	192	601	300	906	286	271	167	186	228	112	134	69	515	185	152
g1353	17	6	12	23	16	9	33	28	19	10	12	17	14	14	18	38	28	5
g1354	20	7	23	74	54	11	42	28	27	38	17	29	53	30	19	74	32	17
g1355	12	24	39	58	49	27	88	56	43	37	12	34	64	64	31	51	31	70
g1356	28	39	43	37	70	98	89	152	36	31	19	58	93	16	9	69	43	29
g1357	47	56	24	58	46	38	48	60	38	35	52	44	80	15	79	107	105	26
g1358	4	6	3	7	5	1	9	9	7	5	4	3	3	6	5	13	5	5
g1359	91	741	779	810	352	133	54	90	190	166	86	196	518	594	84	253	338	243
g1360	517	870	736	2870	1344	743	1120	1078	324	1709	555	262	142	213	199	569	614	546
g1361	275	298	805	198	527	601	408	277	431	197	267	437	503	219	189	249	716	213
g1362	2977	2190	3660	3565	3350	2172	6861	3864	1978	3675	2325	3258	2701	3157	1460	3616	3756	2192
g1363	527	386	481	575	486	406	560	583	543	436	229	387	360	355	353	784	739	550
g1364	950	1043	1184	1425	890	1405	2510	990	1704	1155	716	1103	1202	890	933	1712	1427	623
g1365	432	4	67	179	267	109	0	262	431	168	0	83	13	67	105	23	62	107
g1366	336	565	517	604	512	346	463	608	237	164	248	144	429	362	163	579	577	197
g1367	140	235	191	154	93	158	217	278	96	142	114	95	259	76	129	181	225	151
g1368	25	57	74	52	67	33	51	151	50	59	61	44	39	53	94	92	45	141
g1369	464	412	373	477	1369	476	653	229	404	288	241	163	596	256	309	631	732	281
g1370	2634	2656	3083	6919	3318	1517	4521	5579	3070	2661	982	1421	2606	1659	1658	3230	3532	989
g1371	649	1115	733	1754	1654	708	1613	1194	845	674	434	1012	790	782	764	1082	1357	879
g1372	49	88	98	88	75	69	56	98	75	118	106	40	68	40	38	85	65	46
g1373	88	66	109	275	124	48	231	184	67	135	46	83	54	101	52	149	144	70
g1374	11392	14288	7813	11280	13625	8771	28158	13249	8779	13334	5388	7209	10824	7010	5336	13042	9759	5005
g1375	276	709	198	992	504	385	262	436	315	152	256	121	347	158	435	515	270	373
g1376	21	28	16	40	27	16	29	31	20	18	10	5	24	20	13	28	29	30
g1377	26	39	81	143	170	7	27	48	46	113	6	74	112	41	100	119	80	120
g1378	1493	1261	1142	2232	1751	957	1697	1649	1764	1476	1304	1137	1292	1023	1042	1460	1508	1174
g1379	2799	3326	3251	2829	2378	2941	6351	4096	2846	4100	2300	2182	2550	2903	2292	4910	4864	2349
g1380	40	57	101	171	179	148	165	176	133	141	55	63	81	33	51	179	155	41
g1381	207	454	162	438	344	199	339	493	209	279	250	263	346	152	371	342	337	118
g1382	437	550	619	1207	814	372	1177	543	484	357	475	676	516	389	265	448	446	544
g1383	2013	3263	2983	5960	5969	3184	2266	2526	2213	3498	1966	1706	2289	1779	1633	4549	5192	3421
g1384	3	4	5	4	4	1	10	14	7	8	7	3	0	1	1	9	11	0
g1385	59	123	31	63	46	51	72	63	96	25	29	49	58	41	20	75	115	36
g1386	75	121	24	39	107	23	2	25	13	4	23	110	56	40	20	14	41	16
g1387	590	714	558	802	517	629	1004	891	647	359	328	697	472	496	586	977	1172	628
g1388	11	19	2	7	42	11	81	15	4	28	14	9	5	11	8	72	37	1
g1389	19	5	27	26	7	36	50	18	50	31	9	17	44	9	15	57	14	11
g1390	5	14	6	61	37	14	58	17	8	23	4	22	21	4	14	59	20	3
g1391	62	96	60	64	81	106	134	89	52	57	38	34	112	43	29	81	85	45
g1392	1	7	3	5	11	9	11	19	2	4	9	4	0	9	11	4	22	7
g1393	1	4	1	2	0	6	4	10	7	2	3	4	3	0	1	0	6	0
g1394	1341	1215	1334	2657	1544	1747	2337	2038	1805	1242	885	914	917	921	945	2221	2848	1178
g1395	651	333	550	1524	754	540	887	870	719	742	335	836	217	727	329	1146	1026	358
g1396	3	0	31	50	33	35	75	147	74	23	25	2	48	25	14	56	77	31
g1397	200	173	122	234	186	141	251	171	158	165	131	212	168	94	152	268	374	181
g1398	425	767	473	573	587	448	447	489	652	445	278	306	221	695	687	330	877	619
g1399	18	22	18	15	17	13	2	18	12	12	6	18	11	25	5	6	10	9
g1400	2384	2754	2107	3828	1653	2406	4775	1291	1733	1760	2177	588	1893	2293	2011	1569	3769	2273
g1401	12	39	3	22	5	11	4	19	9	17	2	41	8	14	20	19	3	23
g1402	8	12	0	2	6	2	22	19	4	8	4	0	3	5	0	9	7	1
g1403	1627	2914	414	2809	1881	1504	4120	1889	1201	1443	1094	490	1644	1491	945	2770	1607	1193
g1404	161	87	136	175	51	67	120	335	104	111	201	125	133	117	190	84	183	214
g1405	2556	1913	2012	4086	2289	1948	2531	3323	1662	1460	1626	2010	2087	1503	1982	3391	3149	1654
